FILE_VERSION	2.0.0
NO_OF_FRAMES	3612
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:45:41.025	66160.15870910
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-176.885	1641.814	675.063	-272.399	1571.220	800.483	-70.104	1567.909	797.867	-173.110	1269.012	672.050	-352.203	1415.527	792.976	16.449	1398.436	791.258	-176.141	1411.165	904.989	-179.652	1174.115	956.963	-177.510	1018.772	968.636	-313.097	954.777	716.236	-42.117	940.474	711.185	-363.853	979.771	814.111	10.129	959.113	825.771	-429.346	1240.305	944.175	82.327	1252.767	919.180	-495.577	1095.707	883.252	-433.618	1100.273	987.483	169.679	1131.176	910.603	72.203	1104.328	960.655	-399.610	903.511	895.153	-460.388	873.145	971.625	-376.639	794.024	909.713	56.976	884.174	868.468	113.350	857.285	949.957	39.080	787.070	879.943	-379.908	633.969	758.165	-21.467	635.498	731.312	-425.068	445.062	899.058	-310.278	442.985	795.284	-59.632	441.994	774.991	53.444	448.344	878.800	-439.439	304.083	837.332	74.716	305.582	814.114	-424.887	24.706	930.629	46.981	24.054	890.145	-509.276	43.701	947.159	123.766	64.971	902.485	-629.620	24.075	851.276	245.767	21.222	836.404	-601.859	29.140	789.384	236.667	32.475	772.386
2	0.01000	-177.010	1641.812	675.584	-272.252	1571.097	801.150	-69.969	1567.829	798.185	-173.108	1268.877	672.455	-352.100	1415.300	793.519	16.535	1398.095	791.510	-175.952	1411.016	905.359	-179.392	1174.022	957.085	-177.386	1018.919	968.671	-313.107	954.729	716.286	-42.131	940.390	711.108	-363.828	979.701	814.142	10.154	959.097	825.606	-429.505	1240.234	944.610	82.271	1252.558	919.537	-496.877	1096.588	883.772	-434.668	1100.551	987.877	170.832	1131.967	911.493	73.309	1104.626	961.143	-400.907	904.401	894.256	-461.218	873.736	970.983	-377.290	794.857	908.876	58.199	884.947	867.777	113.385	857.840	949.898	39.228	787.996	880.208	-379.990	633.976	758.212	-21.482	635.439	731.265	-425.121	445.239	899.078	-310.523	443.118	795.308	-59.628	441.978	774.964	53.427	448.351	878.792	-439.444	304.073	837.351	74.727	305.568	814.141	-424.893	24.683	930.643	46.982	24.048	890.195	-509.268	43.688	947.193	123.778	64.935	902.535	-629.610	24.077	851.292	245.764	21.213	836.440	-601.860	29.157	789.406	236.488	32.291	772.348
3	0.02000	-177.099	1641.978	676.251	-272.117	1571.001	801.825	-69.830	1567.763	798.516	-173.106	1268.750	672.866	-351.995	1415.100	794.065	16.618	1397.792	791.781	-175.759	1410.871	905.730	-179.233	1174.046	957.254	-177.274	1019.331	968.597	-313.129	954.685	716.349	-42.134	940.294	711.046	-363.970	979.626	814.203	10.237	959.038	825.416	-429.687	1240.184	945.345	82.361	1252.602	919.865	-498.124	1097.531	884.286	-435.755	1100.902	988.316	171.978	1132.719	912.324	74.410	1104.932	961.565	-402.314	905.490	893.095	-462.098	874.287	970.376	-378.244	795.991	907.897	59.224	885.896	867.467	113.747	859.132	950.151	39.204	788.781	880.678	-379.766	633.845	758.446	-21.476	635.425	731.228	-425.093	445.244	899.106	-310.380	442.982	795.193	-59.595	441.974	774.932	53.432	448.365	878.791	-439.464	304.068	837.381	74.560	305.369	814.157	-424.899	24.650	930.668	47.000	24.025	890.221	-509.268	43.662	947.226	123.279	65.213	902.331	-629.619	24.072	851.296	245.783	21.197	836.461	-602.005	29.241	789.481	236.482	32.312	772.382
4	0.03000	-177.164	1642.092	676.833	-272.010	1570.879	802.503	-69.704	1567.694	798.892	-173.088	1268.624	673.250	-351.843	1414.920	794.599	16.710	1397.450	792.038	-175.552	1410.725	906.051	-179.170	1174.228	957.459	-177.225	1019.891	968.405	-313.160	954.599	716.428	-42.168	940.203	710.990	-364.070	979.554	814.255	10.336	958.960	825.254	-429.771	1240.205	945.822	82.471	1252.638	920.149	-499.522	1098.567	884.821	-436.863	1101.322	988.709	173.191	1133.604	913.170	75.478	1105.241	961.963	-403.644	906.476	892.310	-463.200	875.054	969.754	-379.187	796.969	906.995	60.600	886.728	866.896	113.638	859.825	950.099	40.078	789.788	880.651	-380.469	634.197	757.829	-21.470	635.396	731.155	-425.110	445.235	899.205	-310.643	443.061	795.217	-59.574	441.918	774.900	53.468	448.360	878.785	-439.497	304.006	837.413	74.971	305.425	814.075	-424.860	24.619	930.693	47.055	23.989	890.447	-509.319	43.605	947.265	123.308	65.165	902.391	-630.029	24.310	851.392	245.764	21.104	836.489	-602.269	29.412	789.492	236.673	32.459	772.494
5	0.04000	-177.177	1642.397	677.624	-271.856	1570.839	803.182	-69.572	1567.659	799.243	-173.057	1268.564	673.681	-351.704	1414.815	795.104	16.797	1397.211	792.345	-175.288	1410.700	906.127	-179.066	1174.316	957.700	-177.156	1020.386	968.204	-313.208	954.605	716.477	-42.216	940.138	710.940	-364.145	979.550	814.315	10.379	958.902	825.030	-429.921	1240.281	946.361	82.624	1252.716	920.483	-500.672	1099.587	885.230	-437.943	1101.741	989.082	174.309	1134.391	913.809	76.588	1105.538	962.307	-405.135	907.478	891.500	-464.306	875.764	969.135	-380.276	798.133	906.054	62.121	887.488	866.244	114.143	860.673	950.108	40.695	790.616	880.706	-380.467	634.219	757.885	-21.477	635.405	731.128	-425.105	445.241	899.209	-310.662	443.057	795.129	-59.545	441.912	774.838	53.462	448.383	878.774	-439.535	304.035	837.441	74.919	305.384	814.097	-424.890	24.629	930.715	47.088	23.988	890.476	-509.308	43.610	947.275	123.292	65.150	902.438	-630.013	24.312	851.385	245.776	21.129	836.512	-602.284	29.433	789.525	236.644	32.487	772.514
6	0.05000	-177.212	1642.512	678.225	-271.707	1570.793	803.837	-69.419	1567.641	799.604	-173.047	1268.493	674.086	-351.540	1414.734	795.606	16.874	1396.969	792.668	-175.087	1410.612	906.520	-178.980	1174.463	957.902	-177.127	1020.899	968.048	-313.269	954.595	716.538	-42.275	940.085	710.896	-364.195	979.567	814.323	10.397	958.857	824.856	-430.072	1240.400	946.805	82.768	1252.775	920.774	-501.786	1100.610	885.677	-439.036	1102.164	989.401	175.426	1135.156	914.408	77.714	1105.761	962.613	-407.179	908.551	890.210	-465.493	876.478	968.517	-381.428	799.147	905.094	63.846	888.226	865.499	114.871	861.489	950.044	41.687	791.465	880.508	-380.625	634.282	757.846	-21.507	635.391	731.105	-425.120	445.243	899.213	-310.768	443.096	795.112	-59.505	441.871	774.813	53.469	448.378	878.750	-439.557	304.023	837.449	75.015	305.424	814.115	-424.884	24.619	930.715	47.098	23.978	890.490	-509.319	43.589	947.308	123.323	65.098	902.475	-630.023	24.322	851.423	245.784	21.102	836.541	-602.283	29.438	789.539	236.670	32.528	772.557
7	0.06000	-177.218	1642.637	678.845	-271.540	1570.747	804.514	-69.268	1567.631	799.990	-172.991	1268.447	674.488	-351.350	1414.678	796.134	16.957	1396.770	793.028	-174.886	1410.523	906.884	-178.876	1174.683	958.055	-177.090	1021.473	967.912	-313.321	954.614	716.619	-42.350	940.046	710.883	-364.238	979.588	814.404	10.422	958.892	824.642	-430.240	1240.512	947.263	82.925	1252.845	921.047	-502.948	1101.642	886.034	-440.086	1102.538	989.642	176.531	1135.948	914.883	78.862	1105.947	962.845	-408.840	909.357	889.426	-466.744	877.190	967.927	-382.789	800.140	904.110	65.738	888.898	864.653	115.737	862.190	949.800	42.747	792.189	880.038	-380.645	634.309	757.910	-21.547	635.390	731.080	-425.165	445.244	899.192	-310.826	443.105	795.049	-59.479	441.860	774.753	53.471	448.414	878.719	-439.615	304.020	837.449	75.007	305.396	814.145	-424.890	24.607	930.741	47.104	23.971	890.530	-509.318	43.564	947.328	123.344	65.069	902.537	-630.002	24.311	851.403	245.796	21.098	836.573	-602.272	29.458	789.552	236.665	32.508	772.588
8	0.07000	-177.244	1642.679	679.395	-271.361	1570.729	805.163	-69.111	1567.630	800.360	-172.942	1268.433	674.933	-351.188	1414.642	796.628	17.054	1396.593	793.366	-174.725	1410.454	907.306	-178.800	1174.807	958.189	-177.117	1021.854	967.029	-313.358	954.646	716.671	-42.401	940.013	710.836	-364.269	979.620	814.466	10.409	958.913	824.440	-430.414	1240.664	947.506	83.108	1252.913	921.320	-504.152	1102.685	886.358	-441.108	1102.886	989.801	177.624	1136.697	915.268	80.027	1106.102	962.989	-410.839	910.124	888.439	-468.069	877.905	967.324	-384.278	801.066	903.094	67.762	889.542	863.715	116.840	862.821	949.414	44.041	792.967	879.307	-380.708	634.350	757.895	-21.565	635.398	731.077	-425.194	445.256	899.187	-310.902	443.123	795.003	-59.428	441.868	774.697	53.477	448.410	878.738	-439.655	304.021	837.442	75.058	305.391	814.183	-424.902	24.608	930.740	47.125	23.968	890.553	-509.334	43.557	947.360	123.350	65.027	902.605	-630.002	24.308	851.430	245.778	21.078	836.598	-602.286	29.455	789.574	236.677	32.528	772.645
9	0.08000	-177.198	1642.747	679.996	-271.187	1570.716	805.809	-68.927	1567.628	800.751	-172.886	1268.395	675.385	-351.033	1414.640	797.151	17.143	1396.436	793.744	-174.550	1410.370	907.701	-178.718	1174.909	958.362	-177.068	1022.353	967.028	-313.423	954.673	716.735	-42.470	940.010	710.824	-364.287	979.650	814.530	10.417	959.000	824.278	-430.552	1240.742	947.924	83.321	1252.962	921.543	-505.440	1103.680	886.660	-442.104	1103.226	989.864	178.769	1137.488	915.593	81.187	1106.188	963.084	-412.815	910.877	887.366	-469.476	878.602	966.666	-385.852	801.947	902.059	69.913	890.199	862.626	118.404	863.129	948.843	45.499	793.697	878.350	-380.772	634.385	757.901	-21.578	635.408	731.077	-425.238	445.272	899.159	-310.979	443.136	794.960	-59.378	441.839	774.657	53.488	448.432	878.752	-439.718	304.009	837.431	75.092	305.396	814.225	-424.902	24.596	930.763	47.128	23.948	890.593	-509.338	43.526	947.376	123.359	65.000	902.657	-630.023	24.312	851.416	245.783	21.074	836.632	-602.273	29.463	789.574	236.679	32.555	772.681
10	0.09000	-177.154	1642.786	680.518	-271.000	1570.725	806.419	-68.747	1567.607	801.168	-172.828	1268.399	675.820	-350.844	1414.631	797.679	17.216	1396.281	794.100	-174.364	1410.305	908.154	-178.683	1175.077	958.509	-177.022	1022.780	966.925	-313.179	954.559	716.981	-42.522	939.974	710.808	-364.311	979.700	814.571	10.396	959.085	824.139	-430.695	1240.813	948.287	83.596	1253.013	921.751	-506.815	1104.643	886.892	-443.131	1103.516	989.835	179.874	1138.178	915.848	82.398	1106.267	963.131	-414.632	911.518	886.473	-470.995	879.272	965.855	-387.447	802.779	900.968	72.139	890.822	861.395	119.731	863.718	948.082	47.115	794.400	877.257	-380.828	634.421	757.889	-21.563	635.434	731.081	-425.289	445.286	899.148	-311.045	443.166	794.922	-59.321	441.859	774.619	53.497	448.443	878.798	-439.761	304.008	837.430	75.138	305.393	814.286	-424.908	24.586	930.781	47.150	23.955	890.620	-509.354	43.517	947.398	123.393	64.959	902.703	-630.011	24.310	851.427	245.799	21.057	836.652	-602.271	29.472	789.593	236.681	32.572	772.715
