FILE_VERSION	2.0.0
NO_OF_FRAMES	3310
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:56:14.318	66793.45208740
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-172.437	1659.145	699.477	-263.730	1601.226	833.683	-62.120	1597.885	824.879	-162.378	1296.248	733.910	-352.133	1409.509	849.018	23.035	1395.225	861.149	-178.106	1412.010	964.044	-180.584	1184.445	993.826	-174.137	1052.510	974.646	-299.552	992.236	738.982	-28.521	978.662	744.135	-363.341	995.858	856.412	22.095	994.355	861.825	-407.523	1154.099	909.358	80.303	1180.062	925.452	-439.981	1039.714	773.505	-370.185	1002.009	871.727	122.837	1059.722	863.430	15.672	1025.193	898.884	-365.777	833.634	716.242	-438.219	799.365	780.771	-407.888	739.983	673.616	56.645	825.185	728.756	114.339	792.708	806.402	100.221	745.589	698.158	-322.680	642.211	767.964	-43.138	642.135	768.635	-346.899	448.299	889.967	-214.074	467.855	825.535	-127.253	463.809	840.593	5.976	456.056	916.620	-297.258	305.939	830.959	-32.449	308.291	852.984	-294.146	24.620	962.538	-48.208	30.374	981.677	-359.812	43.187	900.274	3.732	66.513	920.008	-353.585	29.914	744.459	5.387	22.126	781.493	-289.669	28.148	731.951	-54.170	37.083	760.946
2	0.01000	-172.386	1659.157	699.466	-263.682	1601.241	833.665	-62.082	1597.875	824.861	-162.662	1296.333	733.595	-352.108	1409.496	849.000	23.072	1395.217	861.123	-177.968	1411.886	963.851	-180.576	1184.431	993.791	-174.123	1052.510	974.604	-299.533	992.238	738.947	-28.495	978.673	744.083	-367.879	999.946	866.569	22.110	994.349	861.755	-407.503	1154.081	909.311	80.320	1180.038	925.413	-439.944	1039.714	773.459	-369.846	1001.367	870.251	122.841	1059.704	863.384	15.689	1025.173	898.847	-365.752	833.638	716.169	-438.195	799.374	780.706	-407.877	740.008	673.540	56.612	825.184	728.684	114.316	792.685	806.342	100.203	745.591	698.087	-322.667	642.221	767.929	-43.121	642.127	768.617	-346.953	448.342	889.890	-214.197	467.901	825.486	-127.242	463.812	840.563	5.980	456.039	916.620	-297.478	306.105	830.992	-32.433	308.285	852.980	-294.056	24.432	962.324	-48.216	30.374	981.682	-359.806	43.187	900.272	3.960	66.600	920.007	-353.576	29.911	744.451	5.386	22.124	781.474	-289.663	28.137	731.970	-54.159	37.068	760.942
3	0.02000	-172.329	1659.153	699.455	-263.652	1601.241	833.660	-62.045	1597.883	824.855	-162.326	1296.238	733.880	-352.081	1409.502	848.983	23.095	1395.207	861.104	-178.068	1411.989	964.005	-180.555	1184.434	993.762	-174.095	1052.512	974.573	-299.515	992.218	738.910	-28.479	978.661	744.059	-369.380	1001.312	869.938	22.124	994.331	861.688	-407.477	1154.064	909.278	80.340	1180.009	925.401	-439.912	1039.708	773.409	-369.535	1000.792	868.925	122.853	1059.681	863.349	15.687	1025.152	898.812	-365.732	833.638	716.109	-438.184	799.372	780.618	-407.865	740.022	673.469	56.614	825.174	728.612	114.299	792.663	806.278	100.860	745.266	698.600	-322.679	642.205	767.952	-43.101	642.119	768.601	-346.876	448.300	889.912	-214.196	467.905	825.457	-127.228	463.819	840.550	5.993	456.045	916.601	-297.240	305.939	830.932	-32.418	308.279	852.967	-294.141	24.614	962.526	-48.226	30.360	981.679	-359.799	43.193	900.266	3.960	66.759	919.911	-353.571	29.904	744.453	5.382	22.123	781.465	-289.667	28.144	731.955	-54.152	37.073	760.953
4	0.03000	-172.520	1658.957	698.931	-263.625	1601.204	833.605	-61.724	1597.751	824.958	-162.327	1296.191	733.777	-351.985	1409.374	849.048	23.145	1395.144	861.075	-178.025	1411.955	963.900	-180.513	1184.423	993.718	-174.071	1052.510	974.492	-299.500	992.194	738.848	-28.468	978.618	744.038	-368.630	1000.653	868.267	23.248	994.965	852.834	-407.467	1154.026	909.228	80.353	1179.984	925.367	-440.251	1039.904	773.042	-369.250	1000.282	867.742	122.621	1059.829	863.124	15.672	1025.140	898.757	-365.743	833.608	715.996	-438.407	799.442	780.573	-407.844	739.982	673.378	56.611	825.134	728.545	114.289	792.643	806.226	100.106	745.532	697.916	-322.634	642.159	767.936	-43.092	642.098	768.574	-346.982	448.325	889.887	-214.175	467.890	825.448	-127.214	463.771	840.502	5.686	456.048	916.455	-297.490	306.081	830.958	-32.398	308.215	852.900	-294.117	24.518	962.527	-48.223	30.356	981.681	-359.876	43.149	900.395	3.629	66.517	919.833	-353.861	30.051	744.578	5.499	21.962	781.373	-289.682	28.090	731.967	-53.982	37.195	760.994
5	0.04000	-172.493	1658.960	698.922	-263.581	1601.211	833.591	-61.697	1597.759	824.941	-162.238	1296.204	733.831	-351.955	1409.380	849.047	23.179	1395.158	861.073	-178.009	1411.950	963.921	-180.513	1184.421	993.694	-174.048	1052.512	974.473	-299.486	992.207	738.841	-28.433	978.629	743.995	-367.854	999.969	866.540	23.198	994.939	853.105	-407.425	1154.036	909.209	80.364	1179.959	925.357	-440.162	1039.926	772.963	-368.991	999.834	866.696	122.621	1059.819	863.090	15.665	1025.123	898.702	-365.720	833.640	715.942	-438.375	799.457	780.490	-407.841	740.033	673.295	56.589	825.148	728.482	114.274	792.646	806.173	100.531	745.314	698.271	-322.643	642.183	767.904	-43.080	642.104	768.548	-346.944	448.312	889.862	-214.157	467.888	825.426	-127.211	463.777	840.496	5.709	456.045	916.436	-297.424	306.059	830.917	-32.383	308.239	852.911	-294.118	24.544	962.559	-48.216	30.375	981.677	-359.839	43.180	900.345	3.651	66.514	919.844	-353.850	30.069	744.573	5.497	21.991	781.373	-289.669	28.108	731.956	-54.022	37.171	761.003
6	0.05000	-172.473	1658.937	698.857	-263.551	1601.210	833.568	-61.645	1597.738	824.914	-162.229	1296.187	733.794	-351.989	1409.444	849.143	23.220	1395.137	861.080	-177.969	1411.947	963.900	-180.481	1184.419	993.656	-174.032	1052.497	974.449	-299.477	992.209	738.802	-28.430	978.611	743.967	-367.840	999.975	866.525	23.341	994.951	852.572	-407.409	1154.018	909.185	80.369	1179.926	925.338	-440.214	1039.953	772.939	-368.756	999.444	865.779	122.602	1059.792	863.047	15.648	1025.119	898.684	-365.712	833.655	715.854	-438.368	799.469	780.442	-407.847	740.047	673.215	56.583	825.138	728.411	114.238	792.621	806.114	100.086	745.547	697.775	-322.630	642.183	767.879	-43.068	642.100	768.529	-346.946	448.338	889.832	-214.152	467.887	825.378	-127.194	463.788	840.479	5.704	456.043	916.414	-297.470	306.084	830.930	-32.382	308.225	852.899	-294.106	24.532	962.541	-48.219	30.379	981.671	-359.840	43.169	900.345	3.621	66.498	919.824	-353.875	30.065	744.584	5.508	21.975	781.359	-289.671	28.102	731.949	-53.999	37.195	760.996
7	0.06000	-172.413	1658.954	698.888	-263.512	1601.214	833.549	-61.615	1597.745	824.907	-162.189	1296.189	733.808	-351.886	1409.377	849.055	23.250	1395.138	861.064	-177.937	1411.928	963.879	-180.456	1184.396	993.647	-174.004	1052.506	974.415	-299.463	992.216	738.768	-28.405	978.615	743.931	-367.799	999.961	866.450	23.303	994.892	852.706	-407.376	1154.016	909.156	80.381	1179.908	925.317	-440.162	1039.944	772.898	-368.545	999.111	864.987	122.605	1059.753	863.037	15.647	1025.095	898.626	-365.692	833.672	715.801	-438.341	799.478	780.367	-407.839	740.080	673.128	56.557	825.131	728.360	113.857	792.856	805.893	100.463	745.310	698.115	-322.617	642.171	767.865	-43.054	642.078	768.515	-346.934	448.314	889.817	-214.137	467.887	825.368	-127.197	463.772	840.473	5.734	456.055	916.411	-297.436	306.069	830.906	-32.369	308.231	852.893	-294.113	24.533	962.539	-48.228	30.368	981.679	-359.841	43.163	900.347	3.636	66.508	919.834	-353.857	30.063	744.569	5.494	21.992	781.361	-289.672	28.101	731.958	-54.024	37.195	760.984
8	0.07000	-172.372	1658.952	698.865	-263.463	1601.227	833.549	-61.569	1597.753	824.918	-162.165	1296.196	733.795	-351.931	1409.474	849.147	23.282	1395.120	861.045	-177.906	1411.930	963.884	-180.425	1184.394	993.608	-173.989	1052.498	974.384	-299.455	992.204	738.744	-28.406	978.608	743.913	-367.793	999.976	866.441	23.304	994.907	852.695	-407.352	1154.019	909.137	80.386	1179.879	925.298	-440.157	1039.972	772.876	-368.356	998.830	864.311	122.601	1059.739	862.990	15.642	1025.074	898.604	-365.689	833.701	715.720	-438.333	799.499	780.287	-407.831	740.097	673.062	56.537	825.135	728.305	113.839	792.843	805.837	100.050	745.530	697.668	-322.615	642.176	767.837	-43.056	642.088	768.491	-346.933	448.336	889.810	-214.139	467.879	825.348	-127.178	463.774	840.479	5.724	456.035	916.384	-297.433	306.078	830.896	-32.375	308.237	852.882	-294.101	24.538	962.550	-48.212	30.391	981.679	-359.838	43.171	900.357	3.633	66.503	919.829	-353.864	30.068	744.573	5.500	21.995	781.350	-289.672	28.092	731.957	-54.006	37.199	760.986
9	0.08000	-172.335	1658.965	698.858	-263.426	1601.222	833.531	-61.533	1597.739	824.899	-162.142	1296.189	733.779	-351.807	1409.371	849.014	23.320	1395.083	861.021	-177.873	1411.919	963.859	-180.409	1184.375	993.571	-173.962	1052.500	974.379	-299.436	992.204	738.728	-28.381	978.608	743.877	-367.780	999.976	866.400	23.318	994.900	852.634	-407.327	1154.016	909.091	80.406	1179.862	925.263	-440.126	1039.981	772.833	-368.188	998.599	863.746	122.602	1059.710	862.956	15.636	1025.053	898.582	-365.681	833.711	715.673	-438.301	799.514	780.246	-407.820	740.128	672.972	56.509	825.138	728.234	113.798	792.807	805.757	100.374	745.302	697.981	-322.594	642.164	767.820	-43.036	642.068	768.477	-346.917	448.328	889.803	-214.132	467.882	825.350	-127.176	463.770	840.458	5.750	456.052	916.389	-297.421	306.060	830.899	-32.365	308.236	852.880	-294.111	24.548	962.553	-48.209	30.380	981.678	-359.839	43.173	900.367	3.625	66.502	919.834	-353.859	30.067	744.573	5.491	21.985	781.360	-289.666	28.104	731.957	-54.003	37.199	760.988
10	0.09000	-172.281	1658.944	698.852	-263.377	1601.227	833.523	-61.489	1597.736	824.891	-162.122	1296.183	733.780	-351.874	1409.505	849.153	23.351	1395.076	861.030	-177.839	1411.914	963.858	-180.381	1184.363	993.580	-173.941	1052.492	974.342	-299.417	992.204	738.702	-28.355	978.601	743.849	-367.745	999.975	866.362	23.344	994.885	852.594	-407.311	1154.021	909.067	80.425	1179.826	925.257	-440.106	1040.002	772.798	-368.039	998.414	863.285	122.606	1059.679	862.934	15.647	1025.035	898.558	-365.660	833.740	715.623	-438.293	799.526	780.171	-407.806	740.152	672.923	56.481	825.121	728.194	113.783	792.791	805.695	99.959	745.516	697.540	-322.588	642.171	767.816	-43.023	642.080	768.466	-346.907	448.339	889.802	-214.102	467.886	825.319	-127.158	463.792	840.439	5.759	456.063	916.358	-297.419	306.071	830.889	-32.355	308.227	852.875	-294.106	24.538	962.554	-48.215	30.362	981.681	-359.827	43.166	900.372	3.632	66.492	919.840	-353.869	30.073	744.568	5.493	21.981	781.359	-289.674	28.106	731.958	-54.013	37.209	760.980
