FILE_VERSION	2.0.0
NO_OF_FRAMES	3510
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:57:14.925	66854.05991420
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-179.127	1672.876	724.124	-270.103	1602.954	851.915	-68.102	1598.548	842.205	-170.095	1293.893	726.366	-355.331	1418.215	849.221	17.595	1401.004	850.112	-179.577	1421.117	963.763	-180.652	1192.983	992.337	-179.857	1056.619	971.032	-307.913	985.491	735.930	-36.267	969.136	738.285	-381.625	1009.702	880.352	15.695	989.829	848.864	-416.476	1162.525	911.933	82.409	1185.037	911.160	-440.823	1048.494	774.165	-366.344	1010.822	831.963	116.868	1064.846	844.435	12.771	1029.659	891.009	-371.730	838.539	725.132	-448.797	806.516	784.893	-411.194	744.986	681.189	42.754	827.187	720.536	107.558	795.872	793.748	84.215	746.586	688.566	-337.078	650.778	763.348	-47.112	645.095	760.313	-362.303	453.904	884.683	-230.816	471.658	819.187	-127.180	464.910	831.406	4.109	459.516	908.485	-319.588	308.537	822.145	-28.464	309.012	844.640	-321.322	24.495	946.316	-43.827	29.788	973.036	-385.777	42.851	882.998	10.228	66.926	913.313	-377.115	30.420	726.829	23.470	21.936	774.768	-311.229	28.780	718.303	-35.167	36.990	751.356
2	0.01000	-179.038	1672.902	724.074	-270.033	1602.974	851.859	-68.047	1598.537	842.147	-170.086	1293.864	726.336	-355.404	1418.211	849.213	17.630	1400.927	850.092	-179.538	1421.118	963.713	-180.591	1192.979	992.321	-179.840	1056.620	970.990	-307.917	985.452	735.886	-36.250	969.085	738.253	-381.519	1009.610	880.396	15.682	989.809	848.825	-416.416	1162.486	911.986	82.395	1184.960	911.186	-440.802	1048.436	774.240	-366.328	1010.789	831.931	116.850	1064.776	844.487	12.737	1029.592	891.056	-371.702	838.458	725.251	-448.764	806.462	785.006	-411.151	744.906	681.305	42.694	827.106	720.600	107.492	795.762	793.806	84.058	746.627	688.520	-337.052	650.774	763.309	-48.055	645.872	759.057	-362.391	453.985	884.530	-230.812	471.656	819.167	-127.166	464.901	831.405	4.116	459.507	908.477	-319.587	308.536	822.126	-28.465	309.027	844.617	-321.296	24.498	946.323	-43.829	29.789	973.045	-385.775	42.864	883.005	10.217	66.928	913.305	-377.110	30.422	726.836	23.472	21.927	774.779	-311.223	28.781	718.303	-35.165	36.997	751.347
3	0.02000	-178.956	1672.917	724.040	-269.970	1602.997	851.808	-67.972	1598.532	842.112	-170.063	1293.803	726.316	-355.258	1418.057	849.407	17.640	1400.857	850.064	-179.496	1421.109	963.667	-180.537	1192.988	992.315	-179.820	1056.608	970.988	-307.909	985.391	735.859	-36.238	969.039	738.208	-381.448	1009.554	880.448	15.669	989.785	848.875	-416.362	1162.441	912.027	82.387	1184.888	911.178	-440.747	1048.365	774.313	-366.343	1010.770	831.873	116.830	1064.681	844.525	12.690	1029.516	891.105	-371.678	838.404	725.337	-448.714	806.402	785.128	-411.151	744.846	681.415	42.637	827.014	720.656	107.421	795.672	793.872	84.083	746.403	688.701	-337.041	650.770	763.270	-48.082	645.872	759.000	-362.280	453.910	884.637	-230.805	471.654	819.136	-127.164	464.911	831.393	4.118	459.505	908.438	-319.569	308.530	822.117	-28.454	309.021	844.609	-321.307	24.495	946.314	-43.826	29.807	973.040	-385.761	42.858	882.991	10.230	66.937	913.306	-377.103	30.420	726.825	23.457	21.928	774.766	-311.218	28.779	718.297	-35.166	36.992	751.346
4	0.03000	-179.235	1672.811	723.432	-269.888	1602.981	851.722	-68.157	1598.777	841.816	-170.786	1294.067	725.868	-355.181	1417.983	849.367	17.696	1400.790	850.164	-179.461	1421.102	963.158	-180.512	1192.975	992.256	-180.028	1056.252	971.810	-307.918	985.328	735.793	-36.384	969.204	738.011	-379.703	1010.890	879.649	16.460	989.724	846.487	-416.373	1162.405	912.297	82.365	1184.806	911.202	-441.147	1048.486	773.403	-366.627	1010.919	823.861	117.262	1064.715	844.144	12.764	1029.538	890.478	-371.781	838.387	725.375	-449.191	806.565	784.893	-411.306	744.660	681.696	42.854	826.699	720.217	106.456	796.189	793.830	84.342	746.044	688.868	-337.020	650.751	763.279	-47.896	645.695	758.944	-362.357	453.879	884.601	-230.872	471.785	818.840	-127.112	464.895	831.084	3.900	459.602	908.853	-319.565	308.522	822.100	-28.554	308.811	844.452	-321.056	24.703	946.414	-43.733	29.714	972.302	-386.688	43.299	883.751	10.825	67.063	912.818	-377.438	30.638	726.862	23.449	21.856	774.762	-311.506	28.914	718.429	-35.183	36.956	751.322
5	0.04000	-179.160	1672.837	723.386	-269.805	1603.011	851.682	-68.062	1598.746	841.784	-170.727	1293.995	725.922	-355.123	1417.943	849.409	17.716	1400.731	850.127	-179.433	1421.066	963.596	-180.454	1192.963	992.256	-179.974	1056.245	971.707	-308.008	985.393	735.787	-36.356	969.169	737.957	-378.093	1010.555	883.448	16.432	989.693	846.659	-416.300	1162.377	912.275	82.341	1184.730	911.196	-441.049	1048.736	773.147	-366.561	1010.933	824.274	117.199	1064.662	844.137	12.727	1029.489	890.498	-371.740	838.346	725.473	-449.089	806.518	785.022	-411.229	744.637	681.710	42.808	826.646	720.311	106.409	796.070	793.912	84.288	745.966	688.974	-337.012	650.726	763.258	-47.833	645.633	758.962	-362.314	453.872	884.611	-230.870	471.792	818.814	-127.105	464.911	831.093	3.896	459.592	908.782	-319.549	308.515	822.078	-28.538	308.860	844.470	-321.071	24.701	946.410	-43.744	29.712	972.281	-386.657	43.316	883.741	10.792	67.097	912.838	-377.426	30.632	726.860	23.436	21.884	774.763	-311.481	28.923	718.404	-35.181	36.972	751.308
6	0.05000	-179.094	1672.825	723.268	-269.732	1603.028	851.605	-68.008	1598.736	841.708	-170.819	1293.953	725.896	-355.093	1417.924	849.330	17.746	1400.666	850.093	-179.397	1421.054	963.393	-180.434	1192.969	992.232	-180.001	1056.225	971.860	-308.022	985.352	735.750	-36.399	969.119	737.974	-378.057	1010.491	883.448	16.479	989.644	846.437	-416.273	1162.367	912.366	82.322	1184.676	911.177	-441.098	1048.659	773.191	-366.629	1010.865	823.754	117.348	1064.690	843.969	12.689	1029.415	890.522	-371.732	838.297	725.557	-449.095	806.471	785.101	-411.246	744.535	681.877	42.737	826.497	720.337	106.305	796.019	793.967	84.260	745.851	689.054	-337.022	650.741	763.240	-47.770	645.582	758.919	-362.315	453.881	884.576	-230.870	471.787	818.776	-127.094	464.879	831.030	3.905	459.613	908.791	-319.559	308.516	822.076	-28.572	308.821	844.441	-321.038	24.715	946.428	-43.749	29.676	972.210	-386.717	43.329	883.914	10.793	67.063	912.798	-377.463	30.640	726.863	23.452	21.884	774.762	-311.511	28.944	718.429	-35.187	36.985	751.296
7	0.06000	-178.958	1672.834	723.246	-269.648	1603.058	851.515	-67.908	1598.673	841.647	-170.747	1293.850	725.942	-355.071	1417.891	849.305	17.766	1400.607	850.021	-179.362	1421.036	963.445	-180.374	1192.958	992.216	-179.990	1056.228	971.749	-308.030	985.333	735.722	-36.354	969.065	737.927	-378.000	1010.478	883.470	16.437	989.628	846.568	-416.232	1162.335	912.361	82.317	1184.606	911.182	-441.031	1048.624	773.271	-366.695	1010.816	823.652	117.154	1064.526	844.252	12.661	1029.356	890.521	-371.681	838.239	725.630	-449.026	806.422	785.216	-411.187	744.471	681.935	42.697	826.425	720.415	106.268	795.912	794.051	84.163	745.744	689.137	-336.995	650.718	763.197	-47.802	645.595	758.881	-362.314	453.879	884.554	-230.860	471.788	818.757	-127.093	464.896	831.026	3.906	459.598	908.763	-319.540	308.514	822.056	-28.534	308.839	844.439	-321.068	24.712	946.421	-43.739	29.688	972.255	-386.672	43.329	883.782	10.789	67.091	912.828	-377.437	30.654	726.850	23.455	21.884	774.758	-311.496	28.931	718.409	-35.197	36.964	751.313
8	0.07000	-178.834	1672.843	723.181	-269.571	1603.074	851.425	-67.837	1598.625	841.591	-170.746	1293.764	725.965	-355.038	1417.848	849.266	17.815	1400.546	849.969	-179.309	1421.028	963.331	-180.340	1192.975	992.198	-179.929	1056.216	971.716	-307.958	985.163	735.649	-36.350	969.010	737.870	-377.966	1010.451	883.502	16.469	989.603	846.575	-416.210	1162.314	912.423	82.309	1184.554	911.151	-440.996	1048.570	773.300	-366.728	1010.798	823.508	117.266	1064.502	843.917	12.634	1029.304	890.522	-371.639	838.178	725.741	-448.977	806.377	785.339	-411.151	744.409	682.061	42.621	826.323	720.483	106.192	795.823	794.128	84.091	745.630	689.222	-337.017	650.723	763.178	-47.779	645.588	758.837	-362.311	453.876	884.532	-230.847	471.786	818.762	-127.088	464.888	831.015	3.913	459.608	908.736	-319.551	308.496	822.051	-28.546	308.829	844.435	-321.060	24.710	946.415	-43.744	29.698	972.248	-386.689	43.315	883.813	10.796	67.079	912.815	-377.462	30.648	726.869	23.453	21.860	774.768	-311.496	28.943	718.428	-35.175	36.972	751.304
9	0.08000	-178.722	1672.835	723.102	-269.494	1603.106	851.347	-67.759	1598.579	841.516	-170.729	1293.671	725.993	-355.012	1417.820	849.245	17.853	1400.490	849.905	-179.263	1421.015	963.299	-180.278	1192.971	992.175	-179.886	1056.198	971.684	-308.037	985.250	735.635	-36.333	969.007	737.800	-377.966	1010.395	883.470	16.488	989.588	846.573	-416.182	1162.285	912.448	82.317	1184.502	911.126	-440.968	1048.522	773.337	-366.681	1010.804	823.636	117.079	1064.354	844.272	12.600	1029.246	890.569	-371.596	838.110	725.807	-448.927	806.329	785.423	-411.110	744.323	682.174	42.539	826.209	720.551	106.140	795.720	794.191	84.007	745.515	689.312	-337.013	650.713	763.145	-47.766	645.567	758.797	-362.301	453.885	884.523	-230.845	471.782	818.718	-127.076	464.892	830.971	3.926	459.601	908.711	-319.543	308.508	822.034	-28.535	308.824	844.405	-321.054	24.720	946.418	-43.739	29.694	972.237	-386.677	43.339	883.811	10.793	67.084	912.813	-377.454	30.636	726.851	23.448	21.874	774.764	-311.499	28.928	718.417	-35.197	36.974	751.310
10	0.09000	-178.620	1672.841	723.036	-269.425	1603.106	851.249	-67.694	1598.542	841.450	-170.719	1293.586	726.013	-354.970	1417.764	849.227	17.889	1400.429	849.841	-179.220	1421.004	963.235	-180.235	1192.963	992.170	-179.896	1056.193	971.636	-308.043	985.191	735.574	-36.324	968.938	737.752	-377.964	1010.352	883.438	16.509	989.545	846.560	-416.156	1162.251	912.471	82.328	1184.454	911.103	-440.927	1048.452	773.386	-366.664	1010.797	823.634	117.209	1064.344	843.876	12.590	1029.198	890.596	-371.545	838.048	725.887	-448.909	806.275	785.488	-411.038	744.247	682.250	42.479	826.125	720.622	106.078	795.637	794.267	83.909	745.395	689.382	-337.005	650.712	763.120	-47.753	645.565	758.765	-362.285	453.883	884.500	-230.840	471.771	818.686	-127.063	464.886	830.938	3.942	459.594	908.673	-319.553	308.502	822.020	-28.540	308.813	844.376	-321.057	24.718	946.408	-43.757	29.697	972.254	-386.684	43.314	883.811	10.784	67.050	912.807	-377.458	30.651	726.864	23.460	21.877	774.777	-311.498	28.932	718.416	-35.181	36.967	751.312
