FILE_VERSION	2.0.0
NO_OF_FRAMES	3507
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:58:17.307	66916.44049190
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-311.209	1654.870	646.147	-411.036	1597.677	774.703	-209.198	1590.271	777.713	-317.895	1291.536	686.758	-495.888	1414.394	816.887	-123.070	1397.237	789.131	-310.772	1423.229	914.059	-309.639	1196.466	957.404	-306.300	1052.514	947.231	-453.714	986.499	721.462	-187.296	972.870	704.600	-505.541	1009.114	816.366	0.000	0.000	0.000	-549.119	1166.721	904.243	-53.310	1186.186	858.125	-595.464	1045.367	780.467	-520.782	1010.911	876.737	-18.407	1065.106	792.030	-118.406	1028.573	845.862	-542.147	832.480	730.388	-606.912	805.092	805.753	-591.643	738.192	699.025	-87.907	820.715	678.750	-22.203	794.139	753.625	-43.647	740.024	650.962	-433.146	640.255	738.211	-246.826	778.059	572.744	-430.531	440.620	847.483	-294.938	481.899	796.979	-339.894	590.098	515.158	-189.971	588.423	575.338	-343.858	301.999	796.150	-232.186	434.288	604.906	-316.561	27.048	944.285	-238.591	358.780	872.935	-376.667	38.310	874.005	-182.442	311.657	824.729	-348.922	29.503	723.209	-188.937	158.496	864.596	-283.634	23.759	717.622	-248.919	145.202	847.029
2	0.01000	-310.680	1654.867	645.861	-410.924	1597.421	773.921	-209.324	1590.399	777.981	-317.914	1291.515	686.525	-495.876	1414.394	816.637	-123.051	1397.210	788.801	-310.725	1423.245	913.783	-309.612	1196.480	957.147	-306.273	1052.543	946.977	-453.806	986.568	720.847	-187.296	972.913	704.326	-505.386	1009.129	816.087	0.000	0.000	0.000	-549.123	1166.743	904.075	-53.294	1186.168	857.863	-595.587	1045.373	780.368	-520.877	1010.926	876.618	-18.472	1065.034	791.809	-118.426	1028.579	845.667	-542.355	832.452	730.352	-607.119	805.121	805.744	-591.903	738.173	699.044	-87.786	820.445	678.966	-22.383	794.046	753.489	-43.818	739.741	651.060	-432.820	640.056	738.153	-246.817	779.206	572.015	-430.509	440.620	847.239	-294.891	481.884	796.744	-340.021	591.504	513.662	-189.770	589.696	573.748	-344.177	301.851	795.545	-232.514	435.864	603.861	-316.544	27.080	944.279	-238.581	361.331	872.034	-376.652	38.324	873.968	-182.747	314.002	824.124	-348.904	29.489	723.201	-189.711	160.886	864.468	-283.596	23.747	717.327	-249.526	147.613	847.188
3	0.02000	-310.112	1654.850	645.579	-411.236	1597.411	773.027	-209.440	1590.513	778.264	-317.903	1291.461	686.288	-495.872	1414.370	816.408	-123.040	1397.164	788.499	-310.685	1423.243	913.513	-309.592	1196.464	956.868	-306.236	1052.544	946.688	-453.810	986.543	720.534	-187.279	972.940	704.076	-505.364	1009.131	815.741	0.000	0.000	0.000	-549.115	1166.757	903.936	-53.284	1186.135	857.603	-595.681	1045.368	780.264	-520.946	1010.932	876.510	-18.593	1064.796	791.655	-118.457	1028.569	845.469	-542.576	832.406	730.323	-607.338	805.131	805.735	-592.192	738.137	699.063	-88.229	820.553	678.547	-22.540	793.962	753.397	-44.550	739.887	650.589	-432.740	640.027	737.866	-246.832	780.289	571.329	-430.493	440.632	846.951	-294.839	481.872	796.518	-340.164	592.854	512.284	-189.798	591.011	572.307	-343.814	301.936	795.746	-232.564	437.322	602.647	-316.522	27.116	944.290	-238.700	363.723	871.070	-376.616	38.337	873.946	-182.713	315.954	823.230	-349.321	29.645	722.929	-190.035	163.093	864.769	-284.756	24.303	716.727	-250.471	150.384	846.978
4	0.03000	-309.833	1654.756	645.085	-411.685	1597.350	771.462	-209.649	1590.990	778.075	-317.994	1291.345	685.993	-495.926	1414.310	815.953	-123.173	1397.376	788.049	-310.902	1423.413	912.616	-309.569	1196.479	956.606	-305.955	1052.294	946.505	-453.726	986.453	720.518	-187.181	973.014	703.742	-504.781	1008.667	816.088	-122.510	996.521	811.449	-548.988	1166.860	903.815	-53.270	1186.099	857.346	-596.217	1045.436	779.755	-520.442	1011.796	876.681	-18.362	1064.731	791.164	-118.485	1028.533	845.266	-542.203	832.249	730.655	-607.436	805.277	805.732	-592.980	738.231	698.424	-87.796	819.918	678.349	-22.652	794.083	753.022	-44.134	739.308	650.911	-433.090	640.125	736.970	-247.262	781.627	570.262	-430.567	440.566	846.803	-294.798	481.773	796.122	-340.237	594.170	510.830	-189.319	591.941	570.898	-344.143	301.758	795.056	-232.629	438.716	601.551	-316.126	27.285	943.709	-238.771	366.057	869.975	-377.603	39.200	874.274	-182.870	317.882	822.544	-350.026	30.157	722.674	-190.435	165.478	864.543	-284.269	23.656	717.266	-250.384	152.185	847.234
5	0.04000	-309.247	1654.761	644.847	-411.744	1597.281	770.697	-209.732	1590.763	778.847	-317.972	1291.321	685.769	-495.888	1414.300	815.759	-123.146	1397.313	787.753	-310.843	1423.423	912.394	-309.523	1196.465	956.344	-305.958	1052.298	946.226	-453.713	986.418	720.181	-187.152	973.057	703.529	-503.957	1008.161	818.371	-122.471	996.639	811.259	-548.968	1166.853	903.693	-53.267	1186.044	857.062	-595.919	1045.456	779.931	-520.491	1011.807	876.581	-18.460	1064.610	790.841	-118.521	1028.522	845.091	-542.487	832.211	730.668	-607.654	805.270	805.778	-593.294	738.220	698.505	-87.982	819.880	678.278	-22.774	793.969	752.978	-44.399	739.180	650.886	-432.987	640.154	736.708	-247.289	782.566	569.722	-430.482	440.582	846.499	-294.741	481.875	795.974	-340.342	595.288	509.589	-188.893	592.852	570.199	-343.929	301.792	795.034	-232.738	439.986	600.554	-316.119	27.309	943.708	-238.875	368.050	869.092	-377.532	39.231	874.215	-183.001	319.614	821.854	-349.597	29.787	723.022	-190.809	167.420	864.543	-284.452	23.778	717.099	-250.601	153.862	847.691
6	0.05000	-308.722	1654.733	644.571	-411.762	1597.237	770.124	-209.863	1590.891	779.114	-317.981	1291.257	685.532	-495.854	1414.263	815.534	-123.127	1397.273	787.428	-310.786	1423.422	912.072	-309.480	1196.468	956.103	-305.931	1052.296	946.001	-453.671	986.379	719.915	-187.103	973.106	703.310	-504.615	1008.681	815.316	-122.472	996.689	811.086	-548.898	1166.864	903.569	-53.260	1185.995	856.772	-596.445	1045.421	779.579	-520.527	1011.793	876.480	-18.459	1064.566	790.681	-118.564	1028.472	844.913	-542.608	832.142	730.730	-607.836	805.287	805.840	-593.657	738.151	698.541	-88.051	819.601	678.283	-22.858	793.856	752.929	-44.461	738.930	650.994	-432.998	640.145	736.220	-247.384	783.457	569.154	-430.447	440.582	846.284	-294.657	481.841	795.751	-340.356	596.303	508.491	-189.359	594.147	568.538	-343.933	301.683	794.751	-232.760	441.135	599.635	-316.061	27.341	943.635	-238.831	369.896	868.269	-377.520	39.273	874.255	-183.098	321.192	821.206	-350.067	30.183	722.598	-191.197	169.217	864.369	-284.322	23.786	717.104	-250.911	155.598	847.572
7	0.06000	-308.142	1654.729	644.341	-411.889	1596.996	768.922	-209.956	1590.959	779.446	-317.922	1291.217	685.278	-495.830	1414.226	815.327	-123.078	1397.199	787.125	-310.734	1423.419	911.844	-309.433	1196.457	955.857	-305.930	1052.288	945.763	-453.649	986.334	719.546	-187.028	973.178	703.094	-503.909	1008.043	818.080	-122.451	996.770	810.913	-548.830	1166.835	903.433	-53.252	1185.942	856.521	-596.059	1045.394	779.822	-520.559	1011.775	876.377	-18.559	1064.458	790.460	-118.620	1028.438	844.744	-542.945	832.024	730.676	-608.066	805.271	805.932	-593.968	738.086	698.681	-88.197	819.464	678.292	-22.947	793.725	752.934	-44.636	738.750	651.024	-432.829	640.098	736.009	-247.409	784.204	568.690	-430.349	440.563	845.997	-294.549	481.836	795.592	-340.484	597.225	507.412	-188.805	594.841	568.086	-343.795	301.684	794.596	-232.892	442.185	598.711	-316.080	27.361	943.654	-238.697	371.531	867.458	-377.458	39.297	874.210	-183.112	322.555	820.533	-349.930	30.134	722.634	-191.577	170.662	864.300	-284.331	23.888	716.999	-251.302	157.130	847.532
8	0.07000	-307.582	1654.732	644.091	-411.859	1596.986	768.629	-210.043	1591.050	779.680	-317.889	1291.179	685.037	-495.789	1414.204	815.069	-123.036	1397.132	786.859	-310.667	1423.410	911.567	-309.404	1196.451	955.601	-305.926	1052.263	945.510	-453.610	986.300	719.234	-186.958	973.204	702.853	-504.522	1008.676	814.719	-122.415	996.835	810.740	-548.744	1166.844	903.279	-53.234	1185.865	856.289	-596.545	1045.185	779.902	-520.586	1011.772	876.267	-18.619	1064.361	790.251	-118.656	1028.388	844.604	-543.168	831.953	730.734	-608.256	805.279	806.035	-594.311	738.015	698.803	-88.304	819.265	678.307	-23.011	793.626	752.958	-44.743	738.537	651.102	-432.690	640.068	735.661	-247.467	784.888	568.200	-430.252	440.557	845.698	-294.433	481.804	795.380	-340.571	598.084	506.539	-188.871	595.685	567.064	-343.695	301.627	794.408	-232.923	443.076	597.917	-316.046	27.408	943.648	-238.618	372.947	866.750	-377.427	39.304	874.154	-183.074	323.772	819.942	-350.017	30.154	722.572	-191.857	171.985	864.266	-284.287	23.876	716.974	-251.581	158.546	847.416
9	0.08000	-307.073	1654.750	643.857	-411.887	1596.845	767.722	-210.106	1591.141	779.905	-317.842	1291.149	684.820	-495.719	1414.164	814.838	-122.995	1397.076	786.627	-310.639	1423.410	911.271	-309.395	1196.478	955.378	-305.927	1052.260	945.254	-453.566	986.248	718.959	-186.890	973.245	702.630	-504.562	1008.507	815.142	-122.377	996.898	810.496	-548.667	1166.836	903.123	-53.215	1185.803	856.094	-596.543	1045.346	779.428	-520.615	1011.764	876.167	-18.672	1064.258	790.121	-118.706	1028.345	844.475	-543.424	831.872	730.773	-608.435	805.282	806.155	-594.647	737.940	698.970	-88.379	819.072	678.355	-23.062	793.498	752.995	-44.817	738.358	651.180	-432.537	640.064	735.324	-247.498	785.472	567.747	-430.180	440.526	845.337	-294.276	481.807	795.164	-340.598	598.769	505.713	-189.298	596.627	565.700	-343.559	301.598	794.162	-232.962	443.839	597.129	-316.046	27.425	943.604	-238.540	374.171	866.033	-377.375	39.334	874.131	-182.995	324.830	819.307	-349.917	30.147	722.587	-192.003	173.149	864.165	-284.256	23.875	716.942	-251.713	159.750	847.296
10	0.09000	-306.526	1654.786	643.632	-411.892	1596.759	767.045	-210.156	1591.241	780.122	-317.767	1291.101	684.618	-495.656	1414.159	814.552	-122.929	1397.004	786.389	-310.566	1423.428	911.020	-309.361	1196.479	955.130	-305.938	1052.301	945.022	-453.527	986.217	718.669	-186.810	973.282	702.371	-504.531	1008.550	814.539	-122.383	996.929	810.281	-548.610	1166.867	902.946	-53.197	1185.723	855.934	-596.740	1045.310	779.452	-520.651	1011.785	876.054	-18.696	1064.159	790.019	-118.749	1028.306	844.371	-543.635	831.775	730.854	-608.622	805.292	806.268	-594.936	737.842	699.132	-88.418	818.892	678.404	-23.133	793.407	753.095	-44.853	738.183	651.280	-432.396	640.068	735.030	-247.520	785.937	567.333	-430.077	440.565	844.977	-294.148	481.853	794.908	-340.610	599.314	504.974	-188.752	596.869	565.459	-343.411	301.589	793.922	-232.906	444.425	596.441	-316.015	27.493	943.595	-238.472	375.117	865.398	-377.330	39.363	874.080	-182.930	325.665	818.793	-349.909	30.133	722.557	-192.049	174.093	864.082	-284.229	23.853	716.905	-251.733	160.667	847.170
