FILE_VERSION	2.0.0
NO_OF_FRAMES	3583
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 11:01:05.567	67084.70182390
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-196.087	1667.483	822.830	-270.573	1586.066	954.630	-70.668	1605.284	932.316	-156.890	1296.319	828.418	-347.517	1404.760	963.508	32.855	1396.234	955.535	-165.564	1414.634	1057.701	-168.706	1186.002	1090.074	-170.574	1052.217	1068.278	-295.828	998.783	825.970	-27.056	976.070	831.526	-358.396	1025.728	917.323	27.689	993.052	938.209	-379.557	1153.325	1046.073	69.672	1186.920	1036.107	-444.636	1031.195	929.133	-355.115	1000.393	1011.662	133.359	1067.547	989.410	23.868	1030.372	996.322	-382.703	827.420	866.736	-446.091	797.506	941.294	-437.164	741.465	827.987	81.610	833.034	843.416	137.586	802.568	924.124	129.831	755.074	815.499	-328.003	649.025	843.744	-46.256	634.101	875.143	-357.291	449.533	953.943	-222.711	470.844	894.652	-128.270	462.692	962.623	3.787	459.528	1036.261	-306.601	309.097	889.183	-33.655	303.797	988.889	-311.838	25.292	1008.101	-49.372	33.502	1145.177	-374.610	41.167	944.101	3.639	68.942	1083.098	-362.617	29.622	791.247	15.865	22.339	947.836	-297.224	30.738	780.628	-42.988	36.498	923.410
2	0.01000	-195.285	1667.545	822.601	-270.072	1586.334	954.373	-70.086	1605.190	932.243	-156.624	1296.412	828.300	-347.273	1404.975	963.302	33.082	1396.113	955.652	-165.377	1414.625	1057.652	-168.652	1185.964	1089.966	-170.473	1052.258	1068.177	-295.702	998.799	825.940	-26.976	976.081	831.500	-358.298	1025.696	917.232	27.780	993.064	938.183	-379.567	1153.509	1045.715	69.662	1186.743	1036.164	-444.569	1031.476	928.604	-355.129	1000.600	1011.254	133.293	1067.326	989.530	23.745	1030.267	996.230	-382.623	827.708	866.234	-446.198	797.775	940.750	-437.054	741.757	827.381	81.659	832.777	843.516	137.480	802.321	924.336	129.885	754.776	815.743	-327.942	649.007	843.773	-46.178	634.097	875.166	-357.233	449.538	954.002	-222.862	471.184	893.715	-128.219	462.708	962.648	3.836	459.528	1036.302	-306.633	309.098	889.094	-33.470	303.649	988.784	-311.861	25.294	1008.091	-49.384	33.511	1145.173	-374.617	41.170	944.131	3.653	68.951	1083.114	-362.626	29.621	791.269	15.855	22.337	947.827	-297.224	30.735	780.637	-42.986	36.493	923.424
3	0.02000	-194.475	1667.553	822.359	-269.542	1586.625	954.080	-69.505	1605.022	932.161	-156.350	1296.506	828.206	-347.023	1405.203	963.096	33.163	1395.998	955.513	-165.174	1414.613	1057.625	-167.853	1185.930	1090.817	-170.389	1052.303	1068.164	-295.349	998.678	826.052	-26.891	976.083	831.479	-358.170	1025.690	917.160	27.874	993.087	938.163	-379.588	1153.727	1045.344	69.673	1186.568	1036.216	-444.500	1031.768	928.081	-355.152	1000.819	1010.843	133.214	1066.697	989.982	23.613	1030.166	996.161	-382.471	827.948	865.736	-446.243	798.022	940.155	-436.960	742.064	826.784	81.701	832.516	843.611	137.369	802.111	924.552	129.905	754.443	815.994	-327.861	648.985	843.818	-46.108	634.095	875.199	-357.129	449.493	954.131	-222.522	470.994	894.132	-128.315	462.970	962.989	3.875	459.520	1036.337	-306.358	308.946	889.193	-33.444	303.643	988.820	-311.869	25.275	1008.096	-49.391	33.539	1145.187	-374.622	41.167	944.123	3.640	68.952	1083.108	-362.631	29.629	791.268	16.058	22.345	947.676	-297.233	30.751	780.633	-43.040	36.452	923.449
4	0.03000	-193.935	1667.530	821.511	-269.282	1586.822	952.478	-68.811	1605.054	931.849	-155.925	1296.358	828.156	-346.905	1405.422	962.473	33.707	1396.027	956.489	-164.944	1414.628	1057.019	-168.562	1185.900	1089.753	-170.304	1052.342	1068.067	-295.250	998.675	826.005	-27.003	976.288	831.410	-358.527	1025.913	917.069	26.979	993.124	938.264	-379.635	1153.914	1044.922	69.504	1186.482	1036.582	-444.793	1032.192	925.944	-355.199	1001.040	1010.408	133.424	1067.100	990.317	20.235	1031.482	998.838	-382.413	828.266	865.350	-446.711	798.454	939.364	-437.249	742.535	825.591	81.849	832.288	843.473	136.562	802.410	924.724	130.171	753.860	816.530	-328.176	649.199	842.880	-45.976	634.048	875.172	-357.236	449.516	954.131	-222.649	471.192	893.774	-128.223	462.924	962.968	3.950	459.506	1036.379	-306.806	308.912	889.127	-33.447	303.737	988.992	-311.599	25.515	1008.178	-49.300	33.424	1144.426	-375.591	41.900	944.487	4.507	69.552	1082.122	-363.094	30.102	790.757	16.042	22.267	947.685	-297.249	30.707	780.629	-43.026	36.403	923.460
5	0.04000	-192.967	1667.525	821.195	-268.659	1587.190	952.274	-68.130	1604.828	931.759	-155.641	1296.458	828.113	-346.557	1405.625	961.990	33.952	1395.892	956.522	-164.736	1414.624	1057.050	-168.528	1185.796	1088.649	-170.338	1051.632	1070.015	-295.068	998.684	826.017	-26.926	976.259	831.394	-358.374	1025.941	917.018	27.470	992.693	939.233	-379.633	1154.128	1044.568	69.536	1186.277	1036.612	-444.575	1032.498	927.260	-355.251	1001.262	1009.996	133.230	1067.113	989.714	20.267	1031.306	998.650	-382.360	828.589	864.813	-446.711	798.732	938.774	-437.162	742.860	825.013	81.838	832.042	843.586	136.463	802.133	924.899	130.120	753.526	816.770	-328.100	649.200	843.008	-45.920	634.051	875.211	-357.157	449.539	954.205	-222.541	471.139	893.930	-128.195	462.989	963.044	3.982	459.532	1036.411	-306.712	308.958	889.199	-33.431	303.763	989.011	-311.626	25.506	1008.178	-49.309	33.412	1144.417	-375.539	41.907	944.430	4.472	69.581	1082.135	-363.091	30.109	790.762	16.051	22.299	947.672	-297.248	30.724	780.639	-43.017	36.408	923.456
6	0.05000	-191.934	1667.494	820.755	-268.050	1587.578	951.688	-67.407	1604.556	931.596	-155.370	1296.475	828.043	-346.312	1405.876	961.750	34.265	1395.741	956.714	-164.505	1414.620	1056.961	-168.460	1185.771	1088.562	-170.269	1051.657	1069.680	-294.980	998.717	826.014	-26.859	976.288	831.348	-358.333	1025.971	916.952	27.469	992.708	939.183	-379.693	1154.357	1044.196	69.594	1186.081	1036.668	-444.559	1032.805	926.301	-355.298	1001.494	1009.598	133.227	1066.906	989.886	19.902	1031.259	999.114	-382.326	828.859	864.412	-446.826	799.051	938.162	-437.152	743.156	824.419	81.812	831.731	843.649	136.251	801.924	925.055	130.082	753.114	817.043	-328.075	649.187	842.948	-45.840	634.040	875.221	-357.121	449.531	954.307	-222.534	471.160	893.928	-128.127	462.971	963.039	4.010	459.523	1036.435	-306.778	308.943	889.260	-33.411	303.790	989.055	-311.578	25.523	1008.196	-49.319	33.385	1144.334	-375.604	41.924	944.556	4.458	69.557	1082.089	-363.163	30.186	790.700	16.050	22.289	947.680	-297.256	30.727	780.659	-43.021	36.426	923.459
7	0.06000	-190.793	1667.454	820.359	-267.374	1588.005	951.382	-66.669	1604.225	931.444	-155.094	1296.570	827.937	-346.018	1406.135	961.557	34.538	1395.568	956.747	-164.249	1414.632	1056.984	-168.358	1185.743	1088.497	-170.126	1051.697	1070.075	-294.857	998.751	826.032	-26.712	976.246	831.251	-358.192	1025.988	916.908	27.599	992.676	939.329	-379.731	1154.595	1043.846	69.660	1185.860	1036.707	-444.460	1033.121	926.139	-355.355	1001.718	1009.194	133.199	1066.637	989.856	20.012	1031.092	998.830	-382.308	829.138	863.894	-446.881	799.327	937.573	-437.062	743.486	823.844	81.787	831.464	843.724	136.112	801.614	925.234	129.963	752.710	817.247	-327.979	649.161	843.072	-45.800	634.042	875.232	-357.077	449.527	954.375	-222.468	471.142	893.995	-128.099	462.988	963.037	4.035	459.529	1036.455	-306.730	308.960	889.324	-33.390	303.775	989.061	-311.608	25.502	1008.179	-49.327	33.432	1144.385	-375.580	41.911	944.460	4.463	69.590	1082.106	-363.119	30.133	790.765	16.045	22.292	947.673	-297.257	30.733	780.660	-43.015	36.415	923.461
8	0.07000	-189.584	1667.369	819.865	-266.669	1588.417	950.916	-65.897	1603.885	931.271	-154.803	1296.654	827.865	-345.706	1406.386	961.377	34.844	1395.407	956.812	-163.997	1414.633	1056.964	-168.277	1185.725	1088.441	-170.061	1051.703	1069.840	-294.899	998.785	826.121	-26.624	976.235	831.218	-358.067	1025.991	916.903	27.632	992.659	939.328	-379.778	1154.813	1043.512	69.756	1185.653	1036.756	-444.423	1033.419	925.532	-355.414	1001.961	1008.813	133.218	1066.360	989.953	19.905	1030.963	998.978	-382.272	829.420	863.402	-446.999	799.627	936.980	-437.028	743.810	823.237	82.015	831.318	843.715	135.929	801.340	925.403	129.832	752.291	817.472	-327.928	649.128	843.119	-45.760	634.036	875.246	-357.022	449.534	954.462	-222.447	471.101	894.088	-128.067	462.989	963.070	4.070	459.529	1036.457	-306.705	308.972	889.372	-33.372	303.794	989.082	-311.611	25.513	1008.188	-49.340	33.413	1144.370	-375.599	41.934	944.506	4.478	69.594	1082.097	-363.133	30.157	790.743	16.046	22.291	947.680	-297.269	30.747	780.655	-43.032	36.416	923.459
9	0.08000	-188.325	1667.224	819.312	-265.941	1588.887	950.384	-65.053	1603.498	931.056	-154.499	1296.712	827.784	-345.394	1406.631	961.244	35.168	1395.222	956.879	-163.712	1414.648	1056.952	-168.152	1185.703	1088.436	-169.961	1051.699	1069.735	-294.758	998.820	826.150	-26.534	976.185	831.201	-357.942	1025.987	916.912	27.708	992.640	939.392	-379.823	1155.020	1043.144	69.865	1185.423	1036.788	-444.336	1033.743	925.029	-355.518	1002.164	1008.389	133.223	1066.085	989.963	19.790	1030.806	999.210	-382.218	829.724	862.904	-447.090	799.944	936.376	-436.994	744.144	822.645	81.951	831.048	843.777	135.779	801.079	925.544	129.674	751.859	817.657	-327.861	649.136	843.175	-45.715	634.044	875.236	-356.977	449.532	954.552	-222.395	471.093	894.131	-128.041	463.004	963.058	4.096	459.517	1036.469	-306.711	308.979	889.428	-33.359	303.787	989.082	-311.603	25.495	1008.183	-49.356	33.427	1144.376	-375.612	41.919	944.493	4.463	69.584	1082.110	-363.133	30.146	790.748	16.041	22.286	947.665	-297.263	30.739	780.664	-43.020	36.408	923.451
10	0.09000	-186.963	1667.045	818.668	-265.152	1589.395	949.800	-64.165	1603.103	930.836	-154.224	1296.762	827.740	-345.074	1406.858	961.110	35.471	1395.052	956.946	-163.423	1414.649	1056.937	-168.040	1185.681	1088.392	-169.822	1051.712	1069.750	-294.674	998.863	826.224	-26.462	976.136	831.179	-357.825	1025.997	916.946	27.790	992.613	939.475	-379.870	1155.241	1042.827	69.999	1185.196	1036.848	-444.296	1034.069	922.755	-355.594	1002.387	1008.000	133.232	1065.806	990.010	19.724	1030.635	999.246	-382.188	829.989	862.398	-447.226	800.278	935.750	-436.965	744.513	822.001	81.968	830.816	843.799	135.605	800.822	925.661	129.500	751.414	817.864	-327.800	649.127	843.263	-45.699	634.042	875.226	-356.939	449.542	954.624	-222.350	471.074	894.205	-128.002	462.994	963.045	4.116	459.516	1036.444	-306.691	308.995	889.468	-33.352	303.800	989.091	-311.611	25.511	1008.196	-49.356	33.426	1144.356	-375.620	41.916	944.509	4.459	69.592	1082.092	-363.136	30.152	790.751	16.035	22.294	947.663	-297.275	30.748	780.684	-43.020	36.419	923.445
