FILE_VERSION	2.0.0
NO_OF_FRAMES	3761
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 11:02:26.337	67165.47100000
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	27.367	1610.298	835.739	-67.742	1593.368	977.539	134.816	1581.697	974.442	21.585	1290.554	901.654	-170.273	1401.462	1020.284	220.746	1381.076	1033.741	11.028	1397.832	1137.146	3.916	1172.168	1165.227	19.004	1063.428	1152.648	-121.061	994.896	919.537	145.158	986.441	897.193	-174.263	1021.388	1012.918	207.238	1020.931	999.386	-238.467	1145.377	1084.725	259.708	1163.897	1114.685	-246.488	1033.257	951.954	-200.075	993.511	1063.884	302.953	1043.231	1059.662	192.053	1010.480	1084.935	-183.245	828.680	904.882	-260.628	796.472	963.361	-227.779	742.108	854.755	250.088	813.632	927.853	297.410	783.254	1013.102	295.658	732.309	907.162	-179.645	658.867	886.863	115.901	641.828	936.178	-226.478	451.606	955.047	-98.338	469.247	876.875	19.377	475.437	1021.037	157.000	455.288	1084.868	-205.569	306.415	880.143	96.110	303.925	1026.663	-206.775	22.881	998.179	39.100	30.915	1158.757	-280.012	41.253	949.743	101.531	63.632	1103.971	-299.984	29.585	794.540	124.158	21.109	969.817	-234.834	31.152	775.266	69.315	34.179	938.714
2	0.01000	26.922	1610.141	835.431	-67.895	1593.295	977.568	134.652	1581.613	974.403	21.421	1290.567	901.845	-170.400	1401.484	1020.531	220.633	1381.104	1033.851	10.946	1397.856	1137.342	4.046	1172.011	1165.121	18.948	1063.394	1152.739	-121.229	994.892	919.718	145.002	986.486	897.302	-174.342	1021.371	1013.176	207.137	1020.967	999.490	-238.454	1145.479	1085.460	259.692	1163.952	1114.786	-246.666	1033.281	952.220	-200.242	993.550	1064.152	302.915	1043.292	1059.753	192.030	1010.523	1085.105	-183.244	828.658	905.024	-260.806	796.500	963.624	-227.956	742.135	855.012	250.000	813.595	928.106	297.388	783.282	1013.376	295.584	732.271	907.449	-179.904	658.951	886.988	115.552	642.017	936.321	-226.538	451.584	955.175	-98.399	469.276	876.964	19.335	475.446	1021.021	156.943	455.276	1084.815	-205.625	306.420	880.200	96.063	303.905	1026.657	-206.802	22.875	998.199	39.097	30.915	1158.754	-280.051	41.164	949.578	101.530	63.633	1103.985	-299.996	29.588	794.528	124.188	21.124	969.683	-234.837	31.160	775.266	69.354	34.222	938.609
3	0.02000	26.953	1609.750	835.626	-68.049	1593.219	977.578	134.287	1581.785	974.116	21.259	1290.606	902.016	-170.526	1401.514	1020.761	220.523	1381.139	1033.959	10.864	1397.865	1137.545	3.976	1172.038	1165.333	18.894	1063.374	1152.907	-121.412	994.885	919.879	144.851	986.553	897.401	-174.447	1021.381	1013.392	206.025	1020.719	999.658	-238.611	1145.522	1085.763	259.644	1164.015	1114.889	-246.847	1033.326	952.493	-200.411	993.566	1064.397	302.873	1043.350	1059.857	192.007	1010.566	1085.276	-183.429	828.710	905.264	-261.122	796.556	963.924	-228.164	742.164	855.266	250.828	813.166	928.952	297.351	783.298	1013.596	295.510	732.249	907.712	-180.102	658.971	887.203	115.695	641.933	936.206	-226.581	451.575	955.274	-98.490	469.317	877.035	19.276	475.468	1020.944	156.913	455.288	1084.773	-205.673	306.438	880.271	96.032	303.914	1026.620	-206.807	22.864	998.204	39.241	31.042	1158.779	-280.053	41.153	949.596	101.525	63.640	1103.998	-300.011	29.597	794.538	124.165	21.137	969.798	-234.842	31.170	775.265	69.305	34.219	938.720
4	0.03000	26.288	1608.923	835.084	-68.542	1593.298	976.722	134.102	1581.760	973.738	20.537	1290.788	902.015	-170.792	1401.557	1020.545	220.372	1381.513	1034.739	10.692	1397.617	1136.498	3.922	1172.059	1165.482	20.016	1062.073	1154.912	-121.652	994.935	919.635	144.916	986.655	897.403	-175.421	1021.992	1010.759	206.315	1020.594	999.736	-238.676	1145.658	1086.268	259.601	1164.070	1115.001	-247.875	1033.398	952.622	-200.492	993.584	1063.764	302.975	1043.564	1061.019	191.973	1010.613	1085.425	-183.578	828.853	905.594	-261.316	796.614	963.917	-229.060	742.119	855.775	249.260	813.721	928.581	297.238	784.429	1014.009	295.719	731.948	908.248	-175.989	659.035	886.504	115.571	641.977	936.197	-227.324	451.580	955.670	-98.830	469.265	876.851	19.265	475.437	1020.941	156.925	455.288	1084.735	-205.698	306.483	880.107	96.110	303.745	1026.601	-206.139	22.596	998.702	39.215	30.997	1158.759	-280.381	41.339	949.949	102.208	63.868	1103.448	-299.989	29.547	794.527	124.149	21.034	969.799	-235.097	31.403	775.305	68.993	34.420	938.425
5	0.04000	26.114	1608.625	835.064	-68.617	1593.246	976.873	133.940	1581.696	973.652	20.398	1290.859	902.221	-170.914	1401.593	1020.836	220.247	1381.551	1034.772	10.611	1397.649	1136.778	3.865	1172.091	1165.733	19.891	1062.025	1154.920	-121.778	994.922	919.863	144.738	986.719	897.485	-175.455	1021.966	1011.301	206.055	1020.563	999.816	-238.848	1145.659	1086.432	259.538	1164.138	1115.100	-247.193	1034.273	951.408	-200.751	993.628	1064.870	302.914	1043.619	1061.011	191.937	1010.656	1085.560	-183.787	828.886	905.884	-261.530	796.645	964.190	-229.055	742.198	855.942	249.349	813.695	928.865	296.979	784.016	1014.486	295.601	731.980	908.449	-176.356	659.059	886.743	115.526	641.997	936.148	-226.715	451.536	955.379	-98.883	469.326	876.929	19.192	475.461	1020.877	156.850	455.291	1084.668	-205.759	306.520	880.183	96.075	303.745	1026.543	-206.177	22.599	998.688	39.231	31.013	1158.775	-280.348	41.331	949.909	102.205	63.936	1103.437	-300.010	29.564	794.537	124.153	21.072	969.830	-235.116	31.427	775.303	69.001	34.440	938.470
6	0.05000	25.803	1608.249	834.925	-68.783	1593.167	976.748	133.788	1581.600	973.533	20.147	1290.911	902.373	-171.042	1401.624	1021.002	220.157	1381.598	1034.928	10.547	1397.654	1136.881	3.825	1172.092	1165.900	19.972	1061.958	1155.401	-121.904	994.956	919.953	144.649	986.805	897.518	-175.726	1022.061	1010.919	206.004	1020.594	999.878	-238.969	1145.715	1086.683	259.485	1164.195	1115.172	-247.948	1033.556	952.387	-200.944	993.658	1065.057	302.887	1043.702	1061.221	191.901	1010.711	1085.686	-183.968	828.922	906.124	-261.707	796.679	964.384	-229.076	742.215	855.998	249.021	813.750	928.989	297.135	784.551	1014.308	295.549	731.943	908.647	-176.116	659.189	886.669	115.401	642.047	936.145	-227.045	451.416	955.677	-99.017	469.320	876.945	19.148	475.468	1020.836	156.819	455.303	1084.601	-205.824	306.523	880.223	96.072	303.693	1026.522	-206.165	22.620	998.733	39.228	31.015	1158.756	-280.381	41.332	949.956	102.156	63.842	1103.419	-300.020	29.561	794.544	124.153	21.063	969.816	-235.125	31.461	775.322	68.960	34.458	938.430
7	0.06000	25.654	1607.971	834.897	-68.920	1593.079	976.801	133.646	1581.525	973.420	20.038	1290.975	902.498	-171.160	1401.649	1021.262	220.038	1381.615	1034.941	10.481	1397.672	1137.109	3.787	1172.107	1166.080	19.892	1061.970	1155.372	-122.011	994.990	920.141	144.475	986.846	897.566	-175.730	1022.042	1011.161	205.870	1020.634	999.893	-239.092	1145.740	1086.864	259.439	1164.244	1115.258	-248.013	1033.695	952.484	-201.111	993.709	1065.349	302.812	1043.755	1061.231	191.863	1010.756	1085.796	-184.191	828.932	906.321	-261.918	796.698	964.576	-229.215	742.257	856.179	249.029	813.700	929.180	297.086	784.439	1014.513	295.416	731.972	908.767	-176.450	659.116	886.979	115.330	642.064	936.112	-227.026	451.415	955.543	-99.070	469.362	877.018	19.101	475.460	1020.829	156.772	455.308	1084.551	-205.879	306.537	880.264	96.043	303.717	1026.489	-206.168	22.593	998.699	39.234	31.002	1158.764	-280.383	41.312	949.943	102.161	63.873	1103.460	-300.026	29.560	794.544	124.152	21.063	969.834	-235.128	31.440	775.336	68.987	34.438	938.469
8	0.07000	25.423	1607.647	834.798	-69.062	1593.025	976.821	133.523	1581.450	973.335	19.887	1291.041	902.626	-171.265	1401.691	1021.478	219.930	1381.652	1035.005	10.408	1397.677	1137.273	3.733	1172.102	1166.244	19.867	1062.041	1155.509	-122.132	995.020	920.256	144.330	986.898	897.603	-175.797	1022.019	1011.451	205.754	1020.674	999.916	-239.222	1145.782	1087.059	259.373	1164.283	1115.310	-247.772	1034.360	952.103	-201.271	993.735	1065.542	302.775	1043.783	1061.244	191.822	1010.797	1085.893	-184.377	828.987	906.507	-262.094	796.730	964.787	-229.430	742.296	856.350	248.932	813.753	929.274	297.000	784.526	1014.613	295.313	731.961	908.894	-176.603	659.157	887.113	115.260	642.083	936.106	-227.115	451.410	955.722	-99.167	469.382	877.038	19.059	475.452	1020.775	156.726	455.312	1084.496	-205.959	306.552	880.306	96.015	303.699	1026.460	-206.182	22.614	998.707	39.225	31.002	1158.763	-280.394	41.306	949.963	102.171	63.885	1103.433	-300.042	29.554	794.559	124.171	21.073	969.848	-235.172	31.473	775.335	68.974	34.448	938.457
9	0.08000	25.217	1607.324	834.734	-69.209	1592.968	976.773	133.366	1581.377	973.229	19.706	1291.088	902.744	-171.390	1401.726	1021.698	219.817	1381.695	1035.101	10.333	1397.683	1137.442	3.688	1172.108	1166.404	19.840	1062.025	1155.566	-122.249	995.058	920.387	144.205	986.956	897.631	-175.861	1022.055	1011.608	205.626	1020.686	999.924	-239.328	1145.826	1087.260	259.315	1164.318	1115.355	-248.001	1034.377	952.297	-201.415	993.762	1065.730	302.708	1043.849	1061.284	191.778	1010.843	1085.964	-184.532	829.000	906.708	-262.322	796.769	964.998	-229.657	742.315	856.568	248.770	813.714	929.415	296.949	784.569	1014.661	295.198	731.977	908.965	-176.749	659.214	887.265	115.180	642.111	936.082	-227.156	451.402	955.760	-99.258	469.412	877.064	19.019	475.454	1020.764	156.679	455.326	1084.452	-206.008	306.562	880.335	96.001	303.709	1026.438	-206.175	22.607	998.706	39.229	31.017	1158.762	-280.408	41.291	949.978	102.149	63.890	1103.437	-300.037	29.552	794.553	124.149	21.081	969.813	-235.157	31.466	775.348	68.969	34.445	938.453
10	0.09000	24.988	1607.040	834.604	-69.360	1592.902	976.758	133.224	1581.299	973.131	19.559	1291.124	902.885	-171.489	1401.766	1021.922	219.719	1381.745	1035.166	10.261	1397.695	1137.619	3.633	1172.097	1166.547	19.789	1062.043	1155.668	-122.385	995.092	920.488	144.074	987.020	897.659	-175.869	1022.121	1011.345	205.526	1020.707	999.936	-239.465	1145.865	1087.464	259.295	1164.365	1115.394	-248.115	1034.516	952.400	-201.534	993.803	1065.843	302.664	1043.875	1061.269	191.735	1010.893	1086.008	-184.724	829.022	906.868	-262.495	796.824	965.177	-229.877	742.346	856.736	248.671	813.735	929.476	296.902	784.605	1014.697	295.087	732.003	909.024	-176.931	659.193	887.392	115.114	642.120	936.061	-227.227	451.413	955.817	-99.333	469.440	877.076	18.963	475.443	1020.754	156.643	455.327	1084.427	-206.056	306.570	880.359	95.959	303.689	1026.417	-206.196	22.591	998.730	39.230	31.006	1158.771	-280.412	41.289	949.968	102.130	63.861	1103.464	-300.047	29.562	794.561	124.149	21.066	969.826	-235.167	31.464	775.359	68.968	34.446	938.466
