FILE_VERSION	2.0.0
NO_OF_FRAMES	3635
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 11:17:53.154	68092.28835950
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-13.595	1670.458	758.106	-115.121	1605.383	876.856	85.989	1579.962	873.040	-23.660	1287.880	756.203	-214.783	1396.939	878.883	156.434	1392.110	889.511	-42.198	1404.264	991.262	-39.512	1173.380	1016.216	-24.504	1039.255	995.395	-152.920	976.405	757.572	119.542	973.147	756.863	0.000	0.000	0.000	-232.768	988.849	895.184	-265.786	1136.830	930.931	209.356	1179.521	962.411	-297.509	1029.654	789.492	0.000	0.000	0.000	266.684	1061.549	906.548	158.981	1021.943	924.322	-225.804	822.297	736.094	-307.568	792.221	789.223	-268.976	738.478	683.052	224.644	825.524	759.676	279.095	794.372	840.832	265.543	746.393	737.042	0.000	0.000	0.000	82.210	632.268	790.261	-308.098	477.029	829.206	-180.041	463.528	752.135	-23.456	467.913	861.994	103.573	444.390	946.462	-288.511	309.710	806.366	50.581	296.298	884.557	-284.865	90.913	1017.617	-21.080	31.367	1021.325	-359.197	86.836	970.426	45.157	63.390	971.814	-376.666	27.689	832.860	73.592	20.319	838.824	-312.539	28.159	812.990	19.055	34.935	803.949
2	0.01000	-13.632	1670.458	757.760	-114.675	1605.369	876.970	86.408	1579.817	873.169	-23.397	1287.827	756.223	-214.449	1396.923	878.918	156.816	1392.078	889.716	-42.036	1403.914	991.002	-39.318	1173.245	1016.169	-24.272	1039.127	995.303	-152.694	976.342	757.496	119.772	973.089	756.773	0.000	0.000	0.000	-232.603	988.842	895.113	-265.546	1136.860	930.975	209.561	1179.275	962.410	-297.330	1029.664	789.561	0.000	0.000	0.000	266.783	1061.292	906.518	163.213	1015.394	909.676	-225.632	822.266	736.224	-307.389	792.218	789.341	-268.875	738.488	683.241	224.574	825.350	759.559	278.984	794.126	840.685	265.383	746.192	736.840	-227.688	658.918	731.359	82.366	632.237	790.170	-308.055	477.073	829.024	-180.295	463.300	752.337	-23.338	467.928	861.961	103.714	444.357	946.380	-288.527	309.717	806.213	50.645	296.270	884.501	-285.201	91.517	1017.861	-21.092	31.300	1021.244	-359.192	86.936	970.266	44.425	63.515	970.251	-376.681	27.678	832.859	73.575	20.324	838.829	-312.544	28.142	812.995	19.046	34.927	803.951
3	0.02000	-13.154	1670.445	757.955	-114.090	1605.425	877.236	86.635	1579.837	873.120	-23.121	1287.771	756.220	-214.120	1396.915	878.949	157.105	1391.756	889.624	-41.086	1403.536	991.280	-39.085	1173.125	1016.157	-24.042	1039.030	995.252	-152.479	976.298	757.430	119.780	972.812	756.927	0.000	0.000	0.000	-211.252	992.417	848.347	-265.313	1136.866	931.056	209.543	1178.796	962.378	-297.136	1029.695	789.652	0.000	0.000	0.000	266.869	1061.016	906.496	167.514	1008.743	894.786	-225.437	822.249	736.353	-307.244	792.234	789.449	-268.652	738.470	683.298	224.471	825.180	759.402	278.864	793.885	840.545	265.217	745.997	736.683	-231.903	659.680	731.840	82.361	632.312	790.179	-308.030	477.101	828.843	-180.096	463.482	751.682	-23.208	467.916	861.934	103.876	444.344	946.315	-288.548	309.755	806.058	50.717	296.238	884.456	-284.851	91.313	1017.649	-21.087	31.369	1021.312	-359.410	86.876	970.178	44.425	63.923	970.535	-376.688	27.670	832.858	73.555	20.331	838.822	-313.027	28.454	812.464	19.041	34.914	803.936
4	0.03000	-12.638	1670.348	757.997	-114.129	1605.333	876.420	86.957	1579.803	873.282	-23.689	1288.075	755.760	-214.005	1396.883	878.667	157.657	1391.597	890.099	-41.315	1403.659	990.389	-38.870	1173.008	1016.077	-23.851	1038.685	996.225	-152.266	976.214	757.347	120.040	972.771	756.794	-210.637	990.851	854.825	170.184	994.775	862.070	-265.115	1136.899	931.307	209.717	1178.954	962.773	-297.340	1029.988	788.871	-232.335	988.769	894.943	266.974	1061.150	906.878	171.804	1002.108	879.935	-225.116	822.165	736.707	-307.423	792.197	789.391	-268.720	738.399	683.585	224.107	825.607	759.251	278.127	794.458	839.991	265.065	745.743	736.493	-231.540	659.778	731.368	83.320	631.673	790.721	-308.202	477.181	828.543	-180.455	463.374	751.616	-23.525	467.821	862.525	104.059	444.296	946.270	-288.615	309.373	805.635	50.815	296.175	884.411	-285.233	91.743	1017.568	-21.085	31.367	1021.297	-360.405	87.953	969.877	43.709	63.278	969.383	-376.689	27.624	832.835	73.528	20.268	838.807	-312.593	28.221	812.855	19.031	34.847	803.928
5	0.04000	-12.035	1670.644	758.466	-113.678	1605.317	876.618	87.345	1579.687	873.419	-23.362	1288.019	755.806	-213.700	1396.893	878.785	157.942	1391.406	890.093	-40.983	1403.560	990.504	-38.676	1172.877	1016.037	-23.017	1037.860	995.709	-151.910	976.045	757.267	120.459	972.851	756.521	-210.419	990.748	854.779	170.526	994.812	861.898	-264.865	1136.935	931.348	209.883	1178.698	962.758	-297.073	1030.011	788.949	-232.189	988.733	894.851	267.074	1060.884	906.830	176.164	995.371	864.839	-224.951	822.135	736.831	-307.271	792.239	789.473	-269.320	738.715	683.327	224.027	825.399	759.143	278.120	793.937	840.121	264.807	745.476	736.279	-230.351	660.223	730.950	83.445	631.713	790.644	-308.152	477.230	828.288	-180.264	463.257	751.564	-23.379	467.833	862.443	104.192	444.274	946.222	-288.628	309.473	805.490	50.887	296.181	884.375	-285.191	91.818	1017.453	-21.080	31.386	1021.308	-360.451	87.984	969.813	43.749	63.368	969.487	-376.697	27.624	832.838	73.527	20.300	838.812	-313.067	28.647	812.379	19.029	34.876	803.919
6	0.05000	-11.694	1670.343	758.389	-113.299	1605.229	876.576	87.763	1579.540	873.550	-23.203	1288.029	755.777	-213.426	1396.879	878.803	158.279	1391.224	890.194	-40.694	1403.469	990.467	-38.460	1172.802	1016.020	-22.915	1038.572	995.700	-151.543	975.923	757.485	120.216	972.587	756.570	-209.702	991.574	851.269	175.785	995.987	861.348	-264.621	1136.953	931.425	210.489	1178.050	963.261	-296.898	1030.064	788.877	-232.054	988.703	894.765	266.959	1060.443	906.069	180.224	989.107	850.820	-224.754	822.100	736.999	-307.198	792.227	789.489	-269.263	738.488	684.556	223.936	825.321	759.017	277.915	793.768	839.945	264.816	745.446	736.183	-230.156	660.207	730.715	83.675	631.604	790.648	-308.159	477.272	828.039	-180.364	463.239	751.393	-23.289	467.837	862.478	104.325	444.228	946.159	-288.680	309.411	805.293	50.930	296.137	884.333	-285.040	91.782	1017.815	-21.082	31.361	1021.308	-360.555	88.101	969.724	43.693	63.292	969.363	-376.715	27.608	832.830	73.513	20.300	838.801	-312.553	28.290	812.823	19.032	34.878	803.910
7	0.06000	-11.193	1670.404	758.598	-112.881	1605.243	876.709	88.150	1579.427	873.696	-22.868	1287.958	755.798	-213.083	1396.873	878.800	158.429	1391.200	890.315	-40.388	1403.372	990.515	-37.836	1172.584	1016.325	-23.220	1038.379	995.986	-151.402	975.988	757.428	120.710	972.652	756.501	-210.031	990.708	848.945	175.975	995.974	861.253	-264.388	1136.971	931.428	210.678	1177.860	963.244	-296.910	1029.770	789.326	-231.880	988.677	894.736	267.329	1060.273	906.431	183.992	983.304	837.851	-224.649	822.053	737.067	-307.053	792.242	789.642	-268.824	738.843	683.111	224.217	825.203	758.935	277.918	793.499	839.847	264.866	745.119	735.919	-229.622	661.157	729.640	83.777	631.602	790.525	-308.136	477.328	827.875	-180.319	463.227	751.234	-23.399	468.042	862.229	104.460	444.217	946.123	-288.209	309.085	805.796	51.001	296.128	884.305	-285.120	91.899	1017.737	-21.103	31.353	1021.298	-360.587	88.192	969.656	43.726	63.324	969.402	-376.740	27.599	832.815	73.498	20.299	838.793	-313.095	28.676	812.357	19.018	34.861	803.906
8	0.07000	-10.763	1670.314	758.710	-112.475	1605.208	876.852	88.551	1579.308	873.830	-22.618	1287.922	755.806	-212.758	1397.001	878.965	158.756	1391.045	890.360	-40.067	1403.294	990.522	-37.658	1172.476	1016.256	-22.979	1038.314	995.880	-151.614	976.185	757.055	120.957	972.392	756.565	-209.733	990.734	848.962	176.480	995.997	861.082	-264.144	1137.016	931.458	210.804	1177.727	963.411	-296.647	1029.829	789.306	-231.714	988.683	894.666	267.416	1060.012	906.248	187.477	977.949	825.902	-224.517	822.028	737.166	-306.962	792.287	789.711	-269.133	738.756	683.686	223.802	824.986	758.783	277.790	793.278	839.695	264.542	745.070	735.907	-229.993	660.397	730.176	84.412	631.293	790.881	-308.130	477.379	827.653	-180.341	463.246	750.981	-23.024	467.844	862.367	104.581	444.157	946.063	-288.744	309.511	804.974	51.064	296.103	884.271	-285.148	92.032	1017.696	-21.094	31.384	1021.298	-360.628	88.269	969.603	43.736	63.334	969.396	-377.195	27.996	832.421	73.480	20.302	838.799	-313.163	28.731	812.337	19.027	34.873	803.900
9	0.08000	-10.276	1670.363	758.888	-112.081	1605.190	876.895	88.939	1579.215	873.953	-22.344	1287.888	755.798	-212.449	1397.010	878.974	159.062	1390.896	890.441	-39.778	1403.198	990.543	-37.404	1172.389	1016.310	-22.768	1038.227	995.989	-151.410	976.144	756.985	121.215	972.383	756.474	-209.650	990.591	848.653	176.530	995.941	861.022	-263.910	1137.034	931.475	210.629	1177.855	962.767	-296.500	1029.793	789.412	-231.519	988.692	894.608	267.549	1059.796	906.320	190.685	973.029	814.947	-224.394	821.998	737.239	-306.841	792.333	789.809	-268.713	739.046	682.872	223.824	824.840	758.681	277.704	793.075	839.592	264.455	744.855	735.721	-229.844	660.522	729.963	84.017	631.549	790.391	-308.118	477.450	827.453	-180.318	463.271	750.757	-22.969	467.847	862.334	104.702	444.155	946.014	-288.708	309.499	804.883	51.409	295.972	884.418	-285.196	92.174	1017.590	-21.105	31.373	1021.295	-360.669	88.382	969.518	43.721	63.310	969.400	-376.740	27.568	832.800	73.463	20.290	838.795	-313.087	28.685	812.343	19.003	34.870	803.897
10	0.09000	-9.830	1670.365	759.044	-111.683	1605.170	877.019	89.343	1579.092	874.079	-22.065	1287.849	755.787	-212.127	1397.047	879.010	159.366	1390.814	890.422	-39.463	1403.124	990.560	-37.607	1172.433	1015.889	-22.530	1038.187	995.865	-151.263	976.143	756.855	121.253	972.462	756.255	-209.403	990.574	848.663	176.567	996.179	860.069	-263.664	1137.061	931.478	210.816	1177.651	962.798	-296.271	1029.853	789.364	-231.325	988.695	894.548	267.627	1059.571	906.235	193.626	968.533	804.957	-224.303	821.979	737.292	-306.749	792.377	789.885	-269.098	738.791	683.814	223.697	824.661	758.568	277.650	792.840	839.487	264.337	744.712	735.634	-229.840	660.524	729.777	84.267	631.471	790.376	-308.096	477.520	827.213	-180.331	463.287	750.533	-22.829	467.818	862.296	104.816	444.138	945.929	-288.797	309.587	804.626	51.142	296.076	884.194	-285.236	92.305	1017.498	-21.125	31.358	1021.279	-360.717	88.479	969.443	43.739	63.310	969.390	-376.804	27.604	832.756	73.460	20.307	838.780	-312.688	28.285	812.749	19.007	34.861	803.898
