FILE_VERSION	2.0.0
NO_OF_FRAMES	3523
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 11:18:56.216	68155.35030790
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-108.580	1701.879	922.426	-225.683	1586.326	964.683	-33.077	1578.738	1025.038	-109.526	1302.926	822.073	-283.275	1383.681	985.310	11.731	1459.852	967.980	-100.830	1410.853	1062.070	-58.854	1186.907	1066.810	-57.950	1056.692	1046.129	-215.868	988.361	824.701	53.845	998.448	796.079	-262.552	1007.600	927.738	121.918	1019.515	894.537	-295.067	1127.131	1058.661	188.863	1476.365	891.339	-359.407	1016.465	936.471	-268.971	976.573	1016.350	208.488	1599.830	840.089	221.782	1546.916	739.574	-306.951	810.315	866.277	-359.154	777.021	947.077	-361.199	720.037	834.540	206.656	1815.222	651.272	298.945	1817.822	689.746	231.561	1901.520	643.859	-250.633	633.067	850.969	53.405	633.019	837.688	-286.020	446.519	980.076	-161.251	449.336	897.658	-28.102	459.135	917.129	102.657	455.461	998.942	-264.879	298.171	925.465	66.190	300.859	945.090	-266.156	24.284	1072.586	35.971	33.185	1095.986	-339.292	40.582	1026.049	91.946	68.055	1037.645	-369.282	26.386	874.246	112.809	19.852	903.682	-308.074	30.190	850.227	55.436	35.269	875.864
2	0.01000	-108.248	1701.842	922.482	-225.607	1586.511	964.655	-33.153	1578.780	1025.476	-109.552	1302.899	822.266	-283.209	1383.738	985.564	11.863	1459.841	968.017	-100.737	1410.916	1062.216	-58.779	1186.963	1067.023	-57.837	1056.708	1046.379	-215.853	988.319	825.083	53.862	998.431	796.342	-262.467	1007.594	928.089	121.990	1019.547	894.758	-294.962	1127.271	1059.146	189.172	1476.121	891.552	-359.124	1016.608	936.994	-268.911	976.657	1016.917	208.974	1599.547	840.470	221.982	1546.841	739.540	-307.061	810.319	866.950	-359.175	777.079	947.861	-361.326	720.022	835.326	206.671	1815.166	652.029	299.011	1817.907	690.369	231.300	1901.525	644.864	-250.565	633.042	851.436	53.430	633.043	837.929	-285.866	446.529	980.559	-161.391	449.118	898.348	-28.047	459.170	917.383	102.731	455.444	999.145	-264.838	298.244	925.746	66.343	300.771	945.174	-266.207	24.108	1072.536	35.981	33.147	1096.010	-339.330	40.554	1026.097	91.969	68.027	1037.678	-369.291	26.383	874.270	113.330	19.594	903.883	-308.076	30.196	850.285	55.443	35.273	875.886
3	0.02000	-107.751	1701.799	922.805	-225.530	1586.696	964.582	-33.220	1578.828	1025.883	-109.559	1302.882	822.458	-283.161	1383.791	985.802	12.012	1459.844	968.090	-100.644	1410.999	1062.364	-58.515	1187.045	1066.938	-57.746	1056.746	1046.664	-215.823	988.289	825.448	53.884	998.421	796.641	-261.941	1007.334	928.669	122.071	1019.556	894.987	-294.859	1127.414	1059.582	189.264	1476.067	891.458	-359.126	1016.649	937.608	-268.875	976.740	1017.428	209.471	1599.246	840.779	222.482	1546.597	739.725	-307.146	810.319	867.625	-359.217	777.130	948.576	-361.456	720.001	836.126	206.731	1815.056	652.672	299.084	1817.960	690.988	231.023	1901.480	645.835	-250.482	632.997	851.930	53.451	633.046	838.194	-285.772	446.515	980.990	-161.305	449.113	898.767	-28.010	459.215	917.638	102.801	455.405	999.361	-264.798	298.313	926.043	66.388	300.795	945.335	-266.206	24.201	1072.641	36.021	33.092	1096.056	-339.355	40.526	1026.125	91.998	68.001	1037.710	-369.321	26.404	874.283	113.344	19.586	903.896	-308.084	30.274	850.373	55.444	35.284	875.901
4	0.03000	-107.833	1702.022	922.044	-225.609	1586.992	964.084	-33.347	1579.024	1026.104	-109.803	1302.985	822.505	-283.171	1383.863	985.711	12.479	1459.858	968.276	-100.582	1411.032	1062.456	-58.804	1187.362	1068.164	-57.506	1056.540	1046.743	-215.462	988.064	826.074	54.003	998.411	796.749	-261.948	1007.291	929.086	121.135	1020.326	894.463	-294.779	1127.527	1059.971	189.620	1475.671	892.447	-359.746	1016.491	938.029	-268.843	976.865	1017.981	209.118	1599.100	841.032	223.151	1545.848	739.956	-306.727	810.185	868.559	-360.085	777.624	948.782	-361.609	719.950	836.731	206.399	1814.977	654.131	299.449	1818.169	693.083	231.059	1901.130	646.845	-250.400	632.922	852.340	53.370	633.138	838.436	-285.760	446.487	981.486	-161.095	449.408	898.684	-27.966	459.162	917.923	102.507	455.392	1000.147	-264.909	298.155	926.324	66.463	300.740	945.446	-266.273	23.996	1072.580	35.361	33.431	1095.659	-339.609	40.717	1026.484	92.681	68.041	1037.242	-369.360	26.357	874.316	113.353	19.505	903.895	-308.015	30.297	850.225	55.433	35.209	875.927
5	0.04000	-107.478	1702.002	922.267	-225.486	1587.209	964.048	-33.397	1579.075	1026.496	-109.799	1302.972	822.733	-283.052	1383.906	986.401	12.586	1459.856	968.367	-100.499	1411.088	1062.651	-58.754	1187.417	1068.406	-57.413	1056.557	1047.041	-215.468	988.047	826.472	53.898	998.379	797.194	-261.861	1007.278	929.494	121.232	1020.292	894.719	-294.709	1127.678	1060.440	189.882	1475.430	892.658	-359.710	1016.562	938.583	-268.807	976.960	1018.525	209.721	1598.655	841.322	223.667	1545.623	740.150	-306.853	810.247	869.216	-360.129	777.695	949.481	-361.751	719.957	837.551	206.520	1814.754	654.661	299.547	1818.122	693.575	230.861	1901.032	647.855	-250.292	632.913	852.803	53.407	633.177	838.735	-285.640	446.470	981.934	-160.985	449.388	899.215	-27.936	459.187	918.187	102.592	455.393	1000.350	-264.844	298.261	926.645	66.498	300.808	945.631	-266.303	23.956	1072.634	35.379	33.386	1095.660	-339.609	40.688	1026.455	92.669	68.087	1037.233	-369.376	26.396	874.317	113.352	19.538	903.909	-308.013	30.341	850.266	55.437	35.239	875.939
6	0.05000	-107.118	1702.069	922.317	-225.404	1587.415	963.935	-33.451	1579.149	1026.889	-109.818	1302.979	822.959	-283.062	1384.006	986.141	12.715	1459.861	968.453	-100.443	1411.155	1062.856	-58.690	1187.471	1068.676	-57.337	1056.595	1047.342	-215.396	987.979	826.932	53.905	998.339	797.438	-261.853	1007.253	929.934	121.156	1020.426	894.931	-294.633	1127.824	1060.869	190.175	1475.148	892.925	-359.830	1016.571	939.176	-268.778	977.054	1019.057	210.036	1598.336	841.631	224.168	1545.192	740.359	-306.901	810.247	869.951	-360.249	777.785	950.191	-361.867	719.950	838.328	206.607	1814.531	655.408	299.701	1818.002	694.209	230.684	1900.805	648.750	-250.204	632.896	853.274	53.276	633.321	839.042	-285.531	446.457	982.385	-160.840	449.426	899.592	-27.898	459.193	918.474	102.630	455.400	1000.626	-264.817	298.288	926.952	66.528	300.820	945.761	-266.311	23.884	1072.636	35.369	33.328	1095.662	-339.647	40.669	1026.544	92.678	68.005	1037.238	-369.390	26.400	874.339	113.350	19.521	903.901	-307.997	30.375	850.243	55.428	35.259	875.937
7	0.06000	-106.832	1701.989	922.224	-225.290	1587.618	963.866	-33.494	1579.208	1027.264	-109.800	1302.940	823.186	-283.001	1384.085	986.522	12.829	1459.855	968.511	-100.371	1411.215	1063.073	-58.634	1187.534	1068.963	-57.274	1056.630	1047.670	-215.411	987.952	827.314	53.894	998.306	797.759	-261.799	1007.228	930.346	121.304	1020.374	895.186	-294.564	1127.943	1061.279	190.446	1474.811	893.169	-359.803	1016.654	939.744	-268.772	977.158	1019.571	210.650	1597.805	841.922	224.718	1544.841	740.578	-307.038	810.209	870.620	-360.303	777.850	950.986	-361.983	719.924	839.115	206.773	1814.270	655.971	299.881	1817.835	694.740	230.569	1900.593	649.698	-250.108	632.864	853.767	53.451	633.241	839.309	-285.406	446.451	982.848	-160.732	449.405	900.084	-27.872	459.214	918.689	102.688	455.363	1000.824	-264.743	298.376	927.271	66.562	300.833	945.928	-266.336	23.857	1072.660	36.081	32.930	1096.147	-339.655	40.640	1026.568	92.683	67.960	1037.299	-369.411	26.408	874.353	113.375	19.541	903.914	-308.018	30.368	850.309	55.444	35.280	875.941
8	0.07000	-106.487	1702.012	922.268	-225.194	1587.819	963.809	-33.539	1579.274	1027.630	-109.804	1302.915	823.415	-282.975	1384.150	986.669	12.954	1459.875	968.592	-100.311	1411.301	1063.270	-58.590	1187.602	1069.265	-57.213	1056.646	1048.009	-215.400	987.911	827.752	53.884	998.291	798.055	-261.786	1007.225	930.758	121.320	1020.416	895.444	-294.503	1128.096	1061.691	190.712	1474.469	893.429	-359.879	1016.717	940.312	-268.753	977.260	1020.083	211.090	1597.482	842.241	225.252	1544.371	740.783	-307.108	810.200	871.312	-360.262	777.840	951.746	-362.147	719.859	839.944	206.935	1814.037	656.673	300.136	1817.640	695.151	230.481	1900.356	650.649	-250.034	632.874	854.265	53.313	633.408	839.593	-285.710	446.652	983.279	-160.626	449.425	900.533	-27.860	459.246	918.930	102.718	455.338	1001.048	-264.703	298.444	927.627	66.575	300.851	946.056	-266.355	23.812	1072.672	36.063	32.885	1096.136	-339.676	40.610	1026.606	92.731	67.974	1037.319	-369.442	26.425	874.356	113.345	19.537	903.904	-308.024	30.386	850.339	55.435	35.262	875.959
9	0.08000	-106.078	1702.013	922.413	-225.070	1587.994	963.741	-33.579	1579.329	1028.004	-109.794	1302.871	823.665	-282.933	1384.222	986.958	13.085	1459.861	968.631	-100.242	1411.386	1063.442	-58.547	1187.670	1069.562	-57.163	1056.684	1048.337	-215.380	987.881	828.169	53.884	998.249	798.371	-261.716	1007.230	931.191	121.370	1020.406	895.738	-294.435	1128.238	1062.088	191.004	1474.146	893.707	-359.928	1016.734	940.818	-268.732	977.346	1020.610	211.725	1596.912	842.559	225.833	1543.940	740.988	-307.230	810.150	871.991	-360.393	777.933	952.466	-362.269	719.803	840.683	207.103	1813.742	657.369	300.425	1817.388	695.625	230.435	1900.087	651.646	-249.971	632.870	854.758	53.515	633.258	839.867	-285.563	446.654	983.767	-160.511	449.404	901.022	-27.826	459.241	919.169	102.733	455.297	1001.273	-264.673	298.509	927.977	66.598	300.874	946.221	-266.373	23.755	1072.708	36.095	32.852	1096.188	-339.707	40.576	1026.631	92.700	67.900	1037.360	-369.463	26.435	874.386	113.359	19.534	903.903	-308.037	30.385	850.374	55.442	35.276	875.984
10	0.09000	-105.790	1701.957	922.261	-224.972	1588.168	963.642	-33.619	1579.364	1028.379	-109.810	1302.811	823.915	-282.900	1384.287	987.197	13.233	1459.846	968.670	-100.175	1411.462	1063.619	-58.514	1187.745	1069.859	-57.102	1056.724	1048.671	-215.699	988.014	828.292	53.885	998.229	798.693	-261.625	1007.209	931.609	121.441	1020.399	896.040	-294.385	1128.355	1062.479	191.344	1473.785	893.973	-359.930	1016.813	941.304	-268.723	977.436	1021.109	212.316	1596.513	842.884	226.435	1543.477	741.161	-307.366	810.135	872.664	-360.504	777.996	953.174	-362.414	719.770	841.503	207.307	1813.453	658.130	300.777	1817.120	695.995	230.416	1899.801	652.651	-249.885	632.839	855.262	53.333	633.442	840.208	-285.084	446.443	984.355	-160.406	449.405	901.499	-27.811	459.269	919.427	102.751	455.290	1001.482	-264.638	298.589	928.287	66.613	300.872	946.386	-266.403	23.713	1072.726	36.087	32.791	1096.180	-339.731	40.534	1026.681	92.737	67.905	1037.390	-369.488	26.463	874.395	113.371	19.529	903.917	-308.045	30.416	850.407	55.445	35.261	875.983
