FILE_VERSION	2.0.0
NO_OF_FRAMES	4084
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 11:21:16.677	68295.81137900
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-285.988	1666.625	698.704	-392.337	1610.469	817.573	-190.911	1595.657	829.579	-296.256	1286.500	702.303	-480.695	1410.174	818.004	-110.598	1390.451	838.784	-310.165	1419.442	936.843	-314.448	1188.096	966.167	-312.790	1048.193	946.636	-441.786	982.348	706.325	-169.052	968.628	708.375	-501.545	1010.089	797.316	-114.787	1000.926	816.544	-549.151	1158.431	881.275	-68.655	1178.183	922.113	-584.248	1046.409	746.727	-524.426	1002.230	849.321	-15.984	1057.027	871.357	-126.868	1021.226	889.259	-524.017	832.121	696.306	-603.943	805.704	753.514	-570.127	744.118	649.245	-41.134	815.037	739.695	-1.531	788.479	830.470	5.083	736.599	727.871	-427.899	634.195	731.924	-130.979	649.549	717.821	-450.346	439.429	858.032	-312.813	474.146	810.295	-179.986	453.454	752.440	-63.530	464.580	853.020	-377.039	305.854	801.856	-51.679	311.359	795.060	-341.468	22.441	926.026	-62.879	52.367	948.149	-407.244	29.171	868.330	3.543	88.492	905.722	-409.624	20.979	714.698	70.173	25.319	790.802	-344.508	32.790	702.088	21.498	35.789	745.950
2	0.01000	-287.616	1666.679	698.803	-393.845	1610.321	817.737	-192.411	1595.659	830.016	-297.284	1286.423	702.556	-481.941	1409.841	818.106	-111.874	1390.589	839.172	-311.961	1419.322	936.943	-315.535	1187.936	966.323	-313.694	1048.066	946.805	-442.531	982.207	706.344	-169.423	968.698	708.371	-502.179	1009.819	797.174	-115.403	1000.735	816.532	-550.289	1158.036	881.347	-69.792	1178.397	922.635	-585.195	1045.989	746.764	-525.474	1001.862	849.416	-16.939	1057.387	871.745	-128.433	1021.478	889.070	-524.916	831.677	696.529	-605.040	805.229	753.544	-570.852	743.692	649.376	-42.404	815.098	740.296	-2.702	788.586	831.054	3.789	736.658	728.463	-428.390	634.181	731.688	-132.160	649.250	717.706	-450.768	439.356	857.689	-312.469	473.749	810.368	-181.583	453.204	752.228	-64.934	464.235	852.617	-377.222	305.762	801.650	-53.708	311.122	794.185	-341.541	22.442	925.910	-63.736	51.312	947.827	-407.248	29.146	868.331	2.026	88.368	905.461	-409.611	21.016	714.702	69.041	25.677	790.690	-344.476	32.773	702.109	21.558	35.543	746.163
3	0.02000	-288.951	1666.636	699.119	-395.334	1610.142	817.888	-193.911	1595.664	830.458	-298.298	1286.379	702.788	-483.183	1409.478	818.240	-113.124	1390.722	839.558	-313.347	1419.007	936.888	-316.586	1187.798	966.470	-314.564	1047.910	946.892	-443.258	982.045	706.336	-170.250	968.637	708.687	-502.487	1009.311	798.477	-116.122	1000.697	816.768	-551.325	1157.640	881.400	-70.870	1178.589	923.103	-586.103	1045.577	746.797	-526.435	1001.468	849.533	-18.017	1057.578	872.205	-129.488	1021.664	889.575	-525.645	831.319	696.548	-605.593	804.859	753.616	-571.544	743.233	649.489	-43.616	815.214	740.894	-3.842	788.703	831.611	2.580	736.748	729.057	-428.856	634.175	731.449	-133.310	648.979	717.633	-451.162	439.275	857.286	-313.630	474.259	809.802	-183.167	452.969	752.088	-66.304	463.875	852.253	-377.031	305.351	801.832	-55.052	310.937	793.822	-341.976	22.322	926.177	-65.225	50.939	947.348	-407.112	28.980	868.645	0.970	88.215	905.386	-409.568	21.030	714.717	68.332	25.926	790.873	-344.415	32.767	702.104	19.971	36.096	745.524
4	0.03000	-290.609	1666.493	699.158	-397.112	1610.195	817.642	-195.457	1595.761	830.902	-300.058	1286.693	702.556	-484.434	1409.114	818.108	-114.281	1390.796	840.180	-314.677	1419.127	937.108	-317.667	1187.601	965.635	-316.880	1047.978	948.759	-443.945	981.909	706.259	-170.831	968.632	708.889	-502.658	1009.024	799.060	-115.334	1000.868	816.113	-552.425	1157.182	881.726	-72.062	1179.257	924.011	-587.319	1044.930	746.968	-527.365	1001.207	849.393	-19.084	1058.214	872.752	-130.656	1021.742	890.200	-526.528	831.011	696.732	-606.957	804.621	753.362	-572.327	742.659	649.648	-44.038	814.735	741.295	-5.402	789.891	831.664	1.388	736.814	729.632	-429.230	634.333	731.128	-134.136	648.409	717.888	-451.616	439.164	856.906	-314.040	474.419	809.228	-184.994	452.773	752.233	-68.159	464.098	851.879	-377.543	305.611	801.021	-56.152	310.221	793.766	-341.704	22.554	926.255	-67.431	51.036	946.487	-408.127	29.501	869.051	-0.421	87.651	904.470	-409.602	21.122	714.602	67.580	26.192	790.970	-344.118	33.110	702.462	19.412	35.895	745.255
5	0.04000	-291.641	1666.831	699.742	-398.513	1610.025	817.777	-196.894	1595.756	831.368	-300.938	1286.702	702.801	-485.632	1408.745	818.345	-115.443	1391.004	840.525	-316.100	1418.959	937.149	-318.546	1187.472	966.803	-316.423	1047.870	947.629	-444.584	981.798	706.198	-171.534	968.619	709.203	-503.341	1008.879	799.375	-116.004	1000.886	816.288	-553.264	1156.767	881.810	-73.037	1179.489	924.397	-588.129	1045.168	745.992	-528.156	1000.792	849.536	-20.032	1058.462	873.134	-131.624	1021.972	890.675	-527.140	830.631	696.823	-607.469	804.203	753.518	-572.875	742.276	649.758	-45.171	814.961	741.925	-6.434	789.906	832.286	0.301	736.932	730.226	-429.748	634.350	730.793	-135.291	648.279	717.795	-451.977	439.120	856.469	-314.563	474.534	808.929	-186.467	452.594	752.255	-69.410	463.784	851.600	-377.720	305.424	800.937	-57.495	309.975	793.397	-341.766	22.542	926.279	-68.527	50.738	946.152	-408.087	29.487	869.063	-1.734	88.188	904.751	-409.449	21.027	714.709	66.861	26.538	791.005	-344.078	33.052	702.419	18.714	35.920	745.036
6	0.05000	-293.193	1666.727	699.933	-399.945	1609.844	817.897	-198.311	1595.781	831.800	-301.977	1286.690	702.952	-486.776	1408.378	818.436	-116.603	1391.182	840.851	-317.242	1418.496	936.969	-319.481	1187.221	966.729	-317.472	1047.466	948.799	-445.181	981.673	706.102	-172.070	968.658	709.447	-504.127	1008.767	799.366	-116.615	1000.885	816.487	-554.117	1156.291	882.001	-73.756	1179.675	924.350	-588.935	1044.662	746.239	-528.870	1000.371	849.632	-20.946	1058.725	873.565	-132.512	1022.214	891.114	-527.768	830.237	696.981	-608.665	803.956	753.209	-573.442	741.815	649.889	-46.098	815.006	742.453	-7.429	790.259	832.761	-0.757	737.073	730.763	-430.195	634.355	730.490	-136.408	648.079	717.688	-452.356	439.029	856.047	-314.920	474.566	808.652	-188.070	452.416	752.427	-70.282	463.436	850.959	-377.937	305.469	800.481	-58.880	309.561	793.028	-341.736	22.588	926.255	-69.441	50.395	945.877	-407.348	29.019	868.996	-2.606	87.511	903.862	-409.405	21.059	714.676	66.126	26.941	790.930	-343.924	33.032	702.440	18.189	35.818	744.865
7	0.06000	-294.408	1666.726	700.298	-401.316	1609.620	818.046	-199.690	1595.788	832.213	-302.757	1286.601	703.161	-487.889	1407.983	818.692	-117.661	1391.401	841.133	-318.378	1418.654	937.848	-320.368	1187.005	966.942	-319.218	1047.619	948.835	-445.762	981.533	705.990	-172.628	968.704	709.685	-504.776	1008.655	799.110	-117.226	1000.899	816.723	-554.855	1155.817	882.142	-74.839	1180.079	925.174	-589.669	1044.205	746.381	-529.510	999.924	849.791	-21.851	1058.948	873.966	-133.357	1022.451	891.547	-528.172	829.894	697.135	-609.078	803.402	753.338	-573.872	741.336	650.001	-47.133	815.206	743.031	-8.214	790.380	833.291	-1.736	737.191	731.311	-430.646	634.346	730.148	-137.658	647.928	717.425	-452.809	438.970	855.611	-315.339	474.603	808.349	-189.517	452.238	752.614	-71.323	463.210	850.752	-378.131	305.252	800.353	-60.260	309.219	792.592	-341.783	22.591	926.248	-70.031	50.084	945.709	-408.134	29.473	868.997	-3.396	87.645	903.671	-409.285	21.027	714.701	65.497	27.381	790.772	-343.804	32.873	702.450	17.560	35.795	744.632
8	0.07000	-295.691	1666.636	700.582	-402.675	1609.389	818.223	-201.057	1595.796	832.663	-303.644	1286.555	703.332	-488.963	1407.559	818.848	-118.712	1391.615	841.404	-319.461	1418.438	937.985	-321.219	1186.781	966.953	-320.043	1047.457	949.092	-446.289	981.390	705.847	-173.134	968.712	709.935	-505.548	1008.467	799.015	-117.844	1000.939	816.955	-555.531	1155.334	882.327	-75.638	1180.330	925.450	-590.353	1043.679	746.573	-530.081	999.473	849.942	-22.632	1059.194	874.258	-134.122	1022.690	891.980	-528.770	829.382	697.187	-608.972	802.690	753.910	-574.308	740.904	650.124	-48.019	815.311	743.551	-8.947	790.660	833.729	-2.649	737.325	731.851	-431.090	634.330	729.782	-138.863	647.754	717.067	-453.252	438.880	855.118	-315.717	474.651	808.080	-190.992	452.007	752.978	-72.269	463.052	850.505	-378.267	305.211	799.923	-61.603	308.867	792.212	-341.802	22.606	926.223	-70.445	49.766	945.596	-408.088	29.432	868.918	-4.054	87.672	903.287	-409.170	21.046	714.667	64.899	27.878	790.557	-343.613	32.751	702.456	16.967	35.776	744.414
9	0.08000	-296.925	1666.572	700.910	-404.000	1609.166	818.350	-202.387	1595.806	833.098	-304.408	1286.482	703.481	-490.013	1407.104	819.040	-119.730	1391.797	841.610	-320.581	1418.243	938.253	-322.042	1186.524	967.023	-320.863	1047.293	949.256	-446.810	981.244	705.708	-173.617	968.741	710.178	-506.250	1008.400	798.725	-118.451	1000.906	817.191	-556.153	1154.791	882.532	-76.399	1180.601	925.786	-591.004	1043.177	746.815	-530.600	998.986	850.088	-23.393	1059.452	874.554	-134.822	1022.930	892.391	-529.041	829.053	697.391	-609.365	802.145	754.046	-574.660	740.441	650.244	-48.872	815.428	744.066	-9.725	790.799	834.271	-3.500	737.445	732.339	-431.462	634.312	729.383	-140.152	647.435	716.652	-453.738	438.748	854.534	-316.058	474.692	807.884	-192.411	451.776	753.522	-72.859	462.969	850.215	-378.468	305.007	799.709	-62.800	308.498	791.926	-341.836	22.627	926.223	-70.648	49.465	945.557	-408.144	29.427	868.898	-4.563	87.775	903.052	-408.995	21.055	714.668	64.329	28.449	790.334	-343.404	32.606	702.479	16.352	35.749	744.181
10	0.09000	-297.921	1666.546	701.342	-405.297	1608.926	818.487	-203.703	1595.812	833.523	-305.207	1286.407	703.658	-491.011	1406.632	819.218	-120.692	1391.985	841.847	-321.712	1417.733	937.739	-322.817	1186.301	967.052	-321.571	1047.151	949.216	-447.272	981.110	705.551	-174.065	968.716	710.398	-506.789	1008.189	798.652	-118.973	1000.869	817.410	-556.737	1154.246	882.732	-77.114	1180.839	926.036	-591.652	1042.609	747.028	-531.068	998.489	850.261	-24.075	1059.675	874.824	-135.505	1023.145	892.753	-529.446	828.585	697.480	-609.608	801.573	754.234	-574.931	739.955	650.368	-49.637	815.543	744.521	-10.394	790.973	834.730	-4.260	737.565	732.813	-431.769	634.281	729.003	-141.487	647.045	716.171	-454.196	438.625	853.943	-316.384	474.714	807.702	-193.734	451.502	754.177	-73.484	462.757	850.044	-378.566	304.893	799.349	-63.912	308.086	791.574	-341.911	22.652	926.203	-70.684	49.146	945.617	-408.117	29.374	868.810	-5.004	87.872	902.765	-408.826	21.064	714.660	63.712	29.279	790.059	-343.202	32.461	702.511	15.595	35.768	743.940
