FILE_VERSION	2.0.0
NO_OF_FRAMES	3489
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:37:05.971	65645.10500770
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-156.015	1668.880	701.045	-249.889	1602.196	830.120	-48.084	1598.449	824.506	-148.819	1298.815	719.341	-336.573	1411.499	851.366	40.580	1396.872	849.258	-157.374	1416.863	951.589	-161.470	1188.612	984.309	-154.575	1056.674	960.528	-285.872	992.560	730.561	-17.529	981.393	724.375	-345.929	1018.077	820.451	41.759	1005.225	827.462	-380.133	1158.626	923.912	77.534	1185.482	920.874	-435.728	1042.362	798.879	-354.517	1005.519	889.536	139.496	1066.261	871.171	29.887	1030.626	875.157	-374.425	830.210	745.039	-441.368	802.193	817.753	-422.741	736.954	710.541	86.607	829.742	727.646	137.743	799.796	811.282	130.455	746.929	704.685	-302.428	645.815	759.240	-33.694	646.857	749.652	-322.793	451.296	883.495	-191.139	472.362	820.045	-119.630	469.244	820.813	12.553	457.294	896.005	-272.805	306.979	825.809	-27.444	308.666	833.032	-265.618	25.981	959.195	-52.434	29.240	962.693	-330.634	40.181	896.458	1.772	64.677	902.132	-327.678	24.211	743.374	6.783	21.638	764.690	-262.226	29.571	730.408	-52.268	37.599	742.226
2	0.01000	-155.977	1668.750	700.826	-249.860	1602.184	829.921	-47.905	1598.469	824.262	-148.756	1298.787	719.226	-336.644	1411.438	850.592	40.613	1396.873	849.168	-157.368	1416.882	951.463	-161.464	1188.640	984.228	-154.510	1056.757	960.423	-285.827	992.557	730.501	-17.488	981.367	724.359	-345.905	1018.085	820.394	41.802	1005.228	827.382	-380.123	1158.648	923.801	77.553	1185.505	920.838	-435.768	1042.349	798.813	-354.553	1005.530	889.490	139.735	1066.441	870.989	29.945	1030.627	875.148	-374.517	830.166	745.186	-441.518	802.211	817.895	-422.980	736.851	710.732	86.755	829.731	727.647	137.866	799.803	811.300	130.624	746.952	704.706	-302.388	645.801	759.208	-33.680	646.855	749.621	-322.773	451.298	883.483	-191.106	472.362	820.055	-119.629	469.243	820.794	12.552	457.307	895.976	-272.785	306.976	825.824	-27.590	308.786	833.107	-265.616	25.974	959.188	-52.435	29.240	962.668	-330.646	40.190	896.442	1.766	64.684	902.126	-327.689	24.201	743.368	6.790	21.644	764.702	-262.225	29.567	730.406	-52.266	37.603	742.206
3	0.02000	-155.904	1668.718	700.642	-249.825	1602.180	829.726	-47.881	1598.440	824.104	-148.705	1298.744	719.128	-336.521	1411.497	850.996	40.632	1396.857	849.077	-157.355	1416.894	951.317	-161.453	1188.654	984.154	-154.512	1056.762	960.383	-285.790	992.544	730.422	-17.447	981.349	724.334	-345.892	1018.087	820.298	41.852	1005.232	827.310	-380.120	1158.681	923.674	77.576	1185.505	920.794	-435.780	1042.344	798.740	-354.590	1005.545	889.447	139.611	1066.310	871.167	30.011	1030.616	875.119	-374.642	830.084	745.254	-441.641	802.202	817.975	-422.921	736.659	710.835	86.891	829.736	727.650	137.969	799.814	811.325	130.791	746.959	704.725	-302.364	645.790	759.166	-33.745	646.851	749.727	-322.766	451.295	883.457	-191.096	472.341	820.047	-119.642	469.243	820.765	12.536	457.296	895.953	-272.772	306.955	825.813	-27.608	308.782	833.102	-265.608	25.967	959.189	-52.444	29.232	962.679	-330.630	40.194	896.457	1.759	64.679	902.123	-327.684	24.203	743.375	6.778	21.632	764.690	-262.222	29.576	730.418	-52.266	37.603	742.196
4	0.03000	-155.839	1668.661	700.407	-249.798	1602.114	829.522	-47.833	1598.409	823.963	-148.651	1298.667	718.966	-336.522	1411.452	850.752	40.668	1396.807	848.990	-157.178	1416.697	950.858	-161.472	1188.685	984.028	-154.580	1056.784	961.832	-285.750	992.506	730.337	-17.399	981.306	724.332	-345.895	1018.004	820.265	42.263	1004.633	827.595	-380.142	1158.673	923.548	77.592	1185.518	920.747	-435.915	1042.229	798.657	-354.632	1005.550	889.373	139.675	1066.311	871.179	30.095	1030.618	875.148	-374.577	829.997	745.229	-441.944	802.241	818.010	-423.508	736.880	710.637	87.035	829.701	727.632	137.929	799.859	811.783	130.943	746.900	704.770	-302.319	645.755	759.140	-33.198	646.558	749.431	-322.791	451.272	883.485	-191.083	472.339	820.043	-119.622	469.189	820.715	12.582	457.282	895.971	-272.787	306.939	825.789	-27.415	308.615	832.948	-265.624	25.953	959.193	-52.448	29.222	962.679	-330.708	40.149	896.590	1.800	64.664	902.129	-327.681	24.145	743.400	6.746	21.558	764.689	-262.206	29.537	730.404	-52.109	37.447	742.108
5	0.04000	-155.762	1668.641	700.243	-249.765	1602.117	829.343	-47.810	1598.394	823.837	-148.596	1298.641	718.895	-336.471	1411.476	850.693	40.689	1396.829	848.905	-157.169	1416.730	950.751	-161.486	1188.696	983.939	-154.588	1056.794	961.707	-285.702	992.492	730.273	-17.358	981.297	724.290	-345.869	1018.004	820.167	42.237	1004.633	827.543	-380.161	1158.707	923.435	77.612	1185.540	920.714	-435.950	1042.230	798.564	-354.666	1005.567	889.307	139.727	1066.323	871.190	30.132	1030.600	875.094	-374.596	829.977	745.190	-441.993	802.239	817.957	-423.512	736.839	710.591	87.167	829.715	727.656	138.027	799.881	811.813	131.093	746.925	704.795	-302.312	645.763	759.097	-33.192	646.564	749.444	-322.776	451.280	883.432	-191.071	472.325	820.025	-119.615	469.202	820.714	12.573	457.282	895.957	-272.754	306.941	825.784	-27.434	308.625	832.959	-265.610	25.958	959.204	-52.444	29.225	962.678	-330.668	40.156	896.551	1.783	64.665	902.119	-327.677	24.163	743.394	6.757	21.586	764.692	-262.203	29.549	730.413	-52.143	37.477	742.108
6	0.05000	-155.698	1668.607	700.057	-249.715	1602.121	829.155	-47.778	1598.390	823.684	-148.536	1298.632	718.775	-336.457	1411.469	850.489	40.714	1396.839	848.828	-157.168	1416.736	950.586	-161.495	1188.742	983.882	-154.602	1056.814	961.732	-285.669	992.471	730.198	-17.326	981.273	724.285	-345.838	1017.999	820.097	42.235	1004.561	827.514	-380.176	1158.733	923.304	77.635	1185.563	920.669	-435.993	1042.213	798.472	-354.706	1005.586	889.221	139.767	1066.337	871.169	30.194	1030.610	875.093	-374.566	829.978	745.117	-442.021	802.258	817.885	-423.570	736.871	710.519	87.290	829.722	727.658	138.144	799.882	811.849	131.239	746.918	704.832	-302.294	645.742	759.074	-33.065	646.502	749.350	-322.785	451.282	883.401	-191.059	472.294	820.005	-119.596	469.200	820.713	12.576	457.277	895.967	-272.756	306.935	825.761	-27.420	308.609	832.953	-265.622	25.963	959.194	-52.444	29.232	962.669	-330.683	40.163	896.554	1.782	64.664	902.110	-327.668	24.163	743.393	6.767	21.574	764.692	-262.207	29.551	730.402	-52.109	37.471	742.087
7	0.06000	-155.628	1668.574	699.892	-249.691	1602.115	828.961	-47.740	1598.393	823.564	-148.493	1298.594	718.693	-336.440	1411.473	850.328	40.735	1396.830	848.756	-157.180	1416.756	950.488	-161.509	1188.746	983.770	-154.604	1056.831	961.637	-285.631	992.442	730.133	-17.293	981.254	724.253	-345.838	1017.983	820.019	42.238	1004.595	827.460	-380.201	1158.754	923.177	77.650	1185.578	920.627	-435.972	1042.240	798.346	-354.749	1005.603	889.132	139.802	1066.349	871.178	30.223	1030.625	875.042	-374.576	830.004	745.012	-442.017	802.260	817.736	-423.488	736.872	710.399	87.395	829.708	727.673	138.231	799.904	811.864	131.361	746.915	704.864	-302.282	645.741	759.021	-33.114	646.529	749.411	-322.759	451.270	883.364	-191.042	472.298	819.982	-119.589	469.171	820.707	12.582	457.263	895.964	-272.746	306.926	825.738	-27.418	308.619	832.967	-265.606	25.956	959.196	-52.448	29.229	962.688	-330.664	40.171	896.549	1.786	64.646	902.135	-327.664	24.160	743.387	6.773	21.570	764.685	-262.206	29.555	730.400	-52.120	37.467	742.107
8	0.07000	-155.565	1668.531	699.704	-249.660	1602.117	828.767	-47.712	1598.384	823.431	-148.443	1298.592	718.606	-336.420	1411.477	850.181	40.745	1396.833	848.682	-157.175	1416.772	950.353	-161.522	1188.767	983.676	-154.636	1056.857	961.608	-285.615	992.438	730.049	-17.282	981.227	724.228	-345.814	1017.973	819.934	42.251	1004.589	827.500	-380.241	1158.776	923.048	77.659	1185.593	920.591	-435.979	1042.260	798.223	-354.773	1005.631	889.021	139.843	1066.357	871.164	30.304	1030.618	875.071	-374.509	830.066	744.838	-441.974	802.288	817.555	-423.411	736.925	710.210	87.496	829.693	727.677	138.336	799.900	811.877	131.480	746.908	704.896	-302.271	645.722	758.995	-33.064	646.505	749.405	-322.768	451.272	883.334	-191.037	472.304	819.926	-119.584	469.165	820.714	12.591	457.260	895.982	-272.749	306.925	825.721	-27.404	308.607	832.970	-265.602	25.975	959.198	-52.443	29.226	962.673	-330.674	40.162	896.548	1.789	64.659	902.112	-327.666	24.167	743.390	6.761	21.581	764.691	-262.208	29.549	730.409	-52.123	37.475	742.091
9	0.08000	-155.507	1668.485	699.534	-249.638	1602.121	828.594	-47.679	1598.387	823.304	-148.388	1298.572	718.492	-336.401	1411.485	850.020	40.755	1396.831	848.614	-157.175	1416.800	950.246	-161.533	1188.787	983.601	-154.654	1056.867	961.515	-285.575	992.411	729.985	-17.248	981.207	724.198	-345.824	1017.974	819.837	42.234	1004.573	827.353	-380.255	1158.802	922.903	77.662	1185.596	920.542	-435.974	1042.288	798.062	-354.790	1005.648	888.899	139.883	1066.383	871.166	30.335	1030.611	875.029	-374.417	830.115	744.663	-441.932	802.285	817.325	-423.254	736.983	709.947	87.581	829.688	727.696	138.418	799.916	811.895	131.597	746.895	704.930	-302.264	645.721	758.944	-33.055	646.493	749.405	-322.758	451.272	883.306	-191.034	472.293	819.910	-119.559	469.157	820.718	12.445	457.205	896.089	-272.748	306.912	825.710	-27.396	308.612	832.978	-265.612	25.970	959.196	-52.443	29.233	962.675	-330.667	40.167	896.556	1.771	64.639	902.125	-327.667	24.166	743.386	6.779	21.583	764.684	-262.195	29.541	730.410	-52.114	37.489	742.111
10	0.09000	-155.419	1668.470	699.358	-249.613	1602.125	828.419	-47.656	1598.378	823.194	-148.367	1298.557	718.401	-336.386	1411.509	849.871	40.779	1396.827	848.543	-157.188	1416.817	950.134	-161.566	1188.799	983.517	-154.662	1056.877	961.432	-285.568	992.428	729.888	-17.239	981.184	724.167	-345.804	1017.982	819.756	42.225	1004.568	827.374	-380.293	1158.831	922.762	77.655	1185.602	920.515	-435.945	1042.312	797.907	-354.802	1005.653	888.737	139.905	1066.384	871.154	30.347	1030.621	874.998	-374.285	830.207	744.422	-441.831	802.310	817.060	-423.066	737.063	709.653	87.667	829.670	727.689	138.492	799.914	811.933	131.696	746.876	704.963	-302.274	645.717	758.918	-33.026	646.495	749.414	-322.766	451.275	883.278	-191.028	472.282	819.896	-119.558	469.156	820.732	12.469	457.202	896.089	-272.727	306.906	825.694	-27.396	308.621	832.997	-265.612	25.969	959.193	-52.441	29.208	962.679	-330.673	40.172	896.554	1.791	64.664	902.149	-327.668	24.169	743.393	6.776	21.577	764.691	-262.202	29.542	730.400	-52.119	37.472	742.110
