FILE_VERSION	2.0.0
NO_OF_FRAMES	3597
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:38:23.922	65723.05597470
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-164.211	1660.982	640.145	-257.991	1609.773	776.020	-56.238	1603.642	770.104	-160.072	1298.996	667.755	-342.633	1418.239	793.363	33.215	1405.980	784.596	-162.366	1434.401	898.138	-164.191	1207.911	934.996	-161.585	1067.748	919.957	-294.375	1000.582	690.898	-27.441	987.986	686.292	-353.617	1027.589	781.451	26.011	1010.493	775.567	-403.427	1164.955	873.300	87.945	1188.094	859.009	-432.116	1053.577	740.159	-369.892	1010.692	842.183	129.298	1070.963	792.117	22.966	1035.821	828.776	-379.359	845.608	686.503	-448.297	813.550	755.353	-424.706	752.316	646.384	63.475	834.275	668.195	121.099	804.337	747.634	102.731	748.623	643.460	-311.615	644.523	724.725	-37.439	645.826	727.015	-335.722	453.189	848.176	-199.841	472.246	790.580	-122.555	470.070	803.038	7.684	462.202	879.218	-280.027	304.369	803.240	-31.652	311.056	819.828	-281.881	35.148	960.088	-56.261	37.143	959.569	-342.426	44.844	890.983	-1.089	69.526	897.184	-325.750	22.425	743.249	0.781	22.671	762.347	-259.849	28.683	733.461	-56.633	35.922	737.653
2	0.01000	-164.170	1660.953	640.113	-257.799	1609.684	776.072	-56.048	1603.390	769.867	-160.201	1298.830	667.665	-342.511	1418.208	793.491	33.302	1405.812	784.124	-162.071	1434.346	898.025	-163.908	1207.863	934.959	-161.276	1067.675	920.072	-294.509	1000.430	691.273	-27.603	987.850	686.230	-353.519	1027.426	781.962	26.144	1010.358	775.601	-403.353	1164.986	873.617	88.255	1187.951	858.373	-432.170	1053.610	740.464	-369.882	1010.651	842.440	129.686	1070.863	791.458	23.270	1035.653	828.333	-379.352	845.737	686.589	-448.250	813.579	755.444	-424.639	752.485	646.500	63.668	834.095	667.641	121.325	804.233	746.828	102.797	748.550	642.651	-311.679	644.404	725.152	-37.574	645.753	727.083	-335.411	453.041	848.808	-199.749	472.106	790.713	-122.603	469.985	803.242	7.637	462.129	879.371	-279.894	304.306	803.551	-31.713	310.974	819.973	-281.407	34.874	960.102	-56.447	37.141	959.794	-341.188	44.075	891.496	-1.376	69.903	897.515	-325.732	22.437	743.241	0.845	22.444	762.548	-259.836	28.683	733.407	-56.675	35.900	737.659
3	0.02000	-164.122	1660.911	640.100	-257.592	1609.571	776.145	-55.667	1603.023	769.746	-160.319	1298.669	667.600	-342.545	1418.263	793.161	33.382	1405.634	783.708	-161.812	1434.263	897.943	-163.616	1207.788	934.949	-160.982	1067.587	920.192	-294.630	1000.265	691.660	-27.759	987.698	686.207	-353.457	1027.291	782.396	26.200	1010.159	775.558	-403.419	1165.062	873.959	88.555	1187.749	857.779	-432.188	1053.606	740.826	-369.854	1010.601	842.737	129.866	1070.687	790.766	23.553	1035.472	827.925	-379.347	845.839	686.740	-448.189	813.578	755.586	-424.612	752.582	646.595	63.718	833.980	667.004	121.511	804.100	746.095	102.835	748.477	641.899	-311.782	644.292	725.636	-37.640	645.637	727.174	-335.065	452.883	849.519	-199.671	471.976	790.877	-122.643	469.883	803.472	7.611	462.017	879.561	-279.788	304.227	803.894	-31.746	310.869	820.151	-280.868	34.611	960.110	-56.527	36.945	959.831	-340.774	43.988	891.630	-1.645	69.621	897.648	-325.724	22.451	743.219	0.812	22.432	762.559	-259.835	28.683	733.332	-56.693	35.903	737.678
4	0.03000	-164.090	1660.808	640.043	-257.563	1609.415	775.847	-55.714	1602.845	769.450	-160.456	1298.447	667.508	-342.344	1418.087	793.544	33.458	1405.431	783.327	-161.540	1434.137	897.799	-163.342	1207.707	934.934	-160.668	1067.488	920.331	-294.749	1000.098	692.022	-27.897	987.518	686.223	-353.421	1027.127	782.896	27.606	1009.542	779.649	-403.211	1164.925	874.280	88.858	1187.579	857.228	-432.247	1053.551	741.233	-369.831	1010.530	843.073	130.075	1070.532	790.114	23.816	1035.264	827.495	-379.359	845.863	686.944	-448.355	813.576	755.833	-424.688	752.508	646.787	63.770	833.831	666.332	121.542	804.042	745.771	102.845	748.306	641.167	-311.889	644.163	726.230	-37.586	645.376	727.133	-334.772	452.700	850.382	-199.569	471.860	791.082	-122.651	469.706	803.716	7.661	461.832	879.817	-279.696	304.165	804.251	-31.765	310.667	820.315	-280.200	34.222	959.800	-56.603	36.694	959.897	-340.967	44.263	891.773	-1.874	69.559	897.503	-325.712	22.415	743.211	0.772	22.359	762.571	-260.090	28.836	733.049	-56.543	35.987	737.774
5	0.04000	-164.046	1660.711	640.055	-257.383	1609.319	775.954	-55.400	1602.419	769.399	-160.553	1298.290	667.515	-342.249	1418.005	793.658	33.516	1405.273	783.010	-161.293	1434.067	897.792	-163.043	1207.599	935.006	-160.404	1067.391	920.544	-294.837	999.960	692.428	-28.028	987.342	686.295	-353.350	1026.994	783.416	28.939	1008.847	783.654	-403.077	1164.897	874.656	89.134	1187.403	856.706	-432.258	1053.487	741.658	-369.767	1010.453	843.421	130.225	1070.379	789.452	24.066	1035.072	827.115	-379.376	845.868	687.195	-448.279	813.510	756.136	-424.698	752.542	647.023	63.781	833.726	665.762	121.704	803.903	745.006	102.838	748.237	640.434	-312.016	644.066	726.864	-37.684	645.206	727.280	-334.408	452.576	851.207	-199.523	471.750	791.324	-122.708	469.546	804.061	7.658	461.633	880.065	-279.591	304.135	804.690	-31.859	310.546	820.522	-279.585	33.916	959.789	-56.647	36.458	959.929	-340.482	44.162	891.914	-1.943	69.366	897.564	-325.694	22.462	743.177	0.754	22.412	762.576	-260.077	28.851	732.957	-56.599	35.957	737.802
6	0.05000	-164.023	1660.587	640.048	-257.220	1609.175	776.008	-55.403	1602.329	769.111	-160.631	1298.108	667.518	-342.141	1417.880	793.969	33.604	1405.096	782.712	-161.034	1433.976	897.784	-162.779	1207.510	935.091	-160.140	1067.278	920.751	-294.892	999.820	692.873	-28.136	987.133	686.413	-353.249	1026.892	783.935	28.777	1008.417	783.354	-402.931	1164.812	875.022	89.424	1187.201	856.240	-432.289	1053.380	742.106	-369.684	1010.359	843.795	130.717	1070.424	788.621	24.289	1034.878	826.748	-379.387	845.808	687.541	-448.235	813.415	756.541	-424.989	752.677	647.048	63.768	833.616	665.186	121.863	803.765	744.329	102.835	748.164	639.756	-312.100	643.949	727.537	-37.798	645.036	727.468	-334.079	452.404	852.099	-199.461	471.657	791.636	-122.777	469.373	804.481	7.664	461.421	880.314	-279.492	304.071	805.156	-31.942	310.411	820.779	-278.981	33.574	959.763	-56.717	36.207	960.003	-340.058	44.057	892.085	-2.043	69.236	897.646	-325.714	22.490	743.146	0.737	22.384	762.594	-260.120	28.882	732.832	-56.594	35.966	737.846
7	0.06000	-164.012	1660.444	640.059	-257.070	1609.040	776.152	-55.243	1602.068	769.002	-160.711	1297.958	667.530	-342.031	1417.775	794.154	33.694	1404.942	782.478	-160.799	1433.877	897.800	-162.542	1207.437	935.215	-159.924	1067.182	920.940	-294.913	999.684	693.329	-28.226	986.998	686.848	-353.185	1026.803	784.387	28.883	1008.279	783.783	-402.781	1164.733	875.444	89.693	1187.030	855.821	-432.293	1053.293	742.564	-369.570	1010.267	844.208	131.053	1070.422	787.829	24.495	1034.702	826.442	-379.418	845.730	687.933	-448.172	813.300	757.006	-425.017	752.583	647.493	63.768	833.543	664.655	121.974	803.650	743.692	102.798	748.094	639.115	-312.189	643.826	728.212	-37.903	644.869	727.720	-333.742	452.230	853.084	-199.391	471.536	792.017	-122.851	469.222	804.941	7.644	461.215	880.575	-279.378	304.029	805.670	-32.030	310.278	821.064	-278.415	33.238	959.807	-56.783	35.966	960.047	-339.600	43.919	892.231	-2.123	69.082	897.735	-325.714	22.539	743.113	0.719	22.391	762.594	-260.102	28.870	732.751	-56.636	35.914	737.888
8	0.07000	-164.011	1660.278	640.089	-256.914	1608.896	776.272	-54.992	1601.732	768.966	-160.745	1297.808	667.557	-341.913	1417.649	794.390	33.800	1404.781	782.294	-160.574	1433.771	897.847	-162.319	1207.360	935.380	-159.744	1067.097	921.167	-294.893	999.541	693.776	-28.254	986.797	686.767	-353.112	1026.704	784.820	28.887	1008.113	783.701	-402.577	1164.652	875.839	89.932	1186.855	855.459	-432.278	1053.157	743.033	-369.426	1010.162	844.621	130.974	1070.116	787.597	24.697	1034.552	826.184	-379.437	845.584	688.418	-448.120	813.176	757.558	-424.901	752.264	648.346	63.725	833.467	664.135	122.069	803.541	743.093	102.761	748.050	638.488	-312.272	643.619	728.964	-38.028	644.696	728.057	-333.441	452.059	854.066	-199.306	471.408	792.541	-122.960	469.092	805.448	7.598	461.036	880.933	-279.276	304.004	806.259	-32.109	310.205	821.381	-277.885	32.883	959.844	-56.858	35.753	960.101	-339.210	43.758	892.385	-2.199	68.962	897.834	-325.737	22.567	743.090	0.698	22.395	762.618	-260.130	28.885	732.679	-56.654	35.914	737.922
9	0.08000	-164.034	1660.107	640.084	-256.769	1608.745	776.382	-54.991	1601.666	768.739	-160.769	1297.673	667.593	-341.809	1417.529	794.600	33.902	1404.632	782.146	-160.358	1433.673	897.906	-162.114	1207.276	935.545	-159.604	1067.012	921.404	-294.882	999.442	694.221	-28.296	986.647	687.094	-353.059	1026.640	785.231	28.932	1007.901	783.812	-402.386	1164.574	876.251	90.172	1186.697	855.170	-432.246	1053.032	743.545	-369.265	1010.074	845.038	131.106	1070.007	787.139	24.868	1034.420	825.940	-379.463	845.417	688.933	-448.108	813.048	758.192	-425.214	752.270	648.630	63.714	833.429	663.651	122.150	803.436	742.501	102.689	748.012	637.917	-312.302	643.393	729.726	-38.171	644.575	728.386	-333.180	451.873	855.082	-199.182	471.267	793.209	-123.017	468.985	805.923	7.542	460.883	881.351	-279.189	303.987	806.847	-32.166	310.110	821.722	-277.468	32.483	959.897	-56.947	35.515	960.144	-338.861	43.603	892.551	-2.295	68.834	897.931	-325.781	22.619	743.087	0.674	22.408	762.616	-260.152	28.910	732.640	-56.676	35.912	737.954
10	0.09000	-164.047	1659.913	640.115	-256.648	1608.581	776.522	-54.861	1601.483	768.645	-160.757	1297.546	667.601	-341.686	1417.420	794.822	33.988	1404.505	782.028	-160.144	1433.557	897.983	-161.923	1207.206	935.759	-159.512	1066.948	921.665	-294.867	999.309	694.675	-28.315	986.476	687.388	-353.013	1026.534	785.646	28.970	1007.700	783.980	-402.178	1164.485	876.680	90.394	1186.555	854.912	-432.218	1052.877	744.024	-369.109	1009.990	845.476	131.175	1069.851	786.824	25.038	1034.318	825.757	-379.511	845.217	689.535	-448.065	812.921	758.894	-425.306	752.028	649.413	63.682	833.380	663.211	122.195	803.339	741.987	102.630	748.000	637.356	-312.356	643.178	730.483	-38.311	644.459	728.795	-332.954	451.702	856.196	-199.133	471.124	793.968	-123.092	468.854	806.438	7.510	460.772	881.836	-279.081	303.964	807.592	-32.222	310.054	822.087	-277.134	32.127	959.978	-57.056	35.295	960.187	-338.592	43.448	892.681	-2.381	68.710	898.034	-325.792	22.614	743.143	0.668	22.395	762.653	-260.192	28.906	732.624	-56.686	35.908	737.982
