FILE_VERSION	2.0.0
NO_OF_FRAMES	3552
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:39:57.101	65816.23421180
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-165.729	1668.381	708.398	-252.081	1601.951	842.131	-50.298	1599.991	826.244	-157.260	1298.038	716.857	-341.165	1419.026	841.897	34.925	1397.020	842.850	-161.076	1420.585	952.127	-166.000	1192.090	981.533	-165.884	1049.959	958.901	-298.857	988.924	726.197	-27.014	972.333	722.776	-356.860	1011.112	819.657	28.082	989.512	830.678	-401.924	1167.789	915.560	79.447	1180.164	917.209	-437.050	1053.288	782.902	-370.398	1012.116	883.081	129.192	1061.289	857.136	20.445	1025.720	877.128	-380.643	842.527	728.481	-450.734	812.610	797.528	-426.173	747.619	690.762	74.825	827.116	718.340	123.747	795.474	802.385	116.650	742.944	695.271	-316.228	642.848	758.410	-40.536	648.113	741.973	-329.776	448.107	881.557	-200.224	470.486	812.884	-126.822	468.341	811.354	7.430	458.976	886.803	-276.406	304.926	822.136	-34.690	308.723	821.514	-264.019	26.330	958.552	-48.484	29.532	952.417	-329.953	40.210	896.454	0.287	65.653	886.240	-327.801	23.452	743.275	-5.968	21.788	748.642	-262.745	28.685	729.557	-66.911	37.422	730.381
2	0.01000	-166.047	1668.281	708.299	-252.005	1601.933	842.351	-50.265	1600.039	825.898	-157.129	1298.029	716.880	-341.132	1419.088	841.910	34.967	1397.047	842.789	-161.002	1420.592	952.138	-165.986	1192.106	981.534	-165.862	1049.973	958.893	-298.846	988.945	726.203	-27.121	972.299	722.813	-356.822	1011.141	819.650	28.026	989.521	830.687	-401.677	1167.801	915.650	79.527	1180.182	917.101	-437.020	1053.363	782.884	-370.364	1012.172	883.025	129.263	1061.625	856.708	20.528	1025.750	876.994	-380.590	842.627	728.419	-450.648	812.676	797.474	-426.069	747.703	690.682	74.863	827.157	718.185	123.837	795.496	802.235	116.700	742.995	695.119	-316.233	642.837	758.435	-40.520	648.120	741.984	-329.760	448.113	881.572	-200.210	470.491	812.884	-126.818	468.348	811.347	7.435	458.977	886.804	-276.418	304.934	822.141	-34.683	308.723	821.530	-263.995	26.322	958.556	-49.144	29.494	950.624	-329.930	40.207	896.466	-0.184	65.346	886.528	-327.796	23.460	743.269	-5.982	21.780	748.653	-262.750	28.675	729.556	-66.933	37.395	730.363
3	0.02000	-166.383	1668.149	708.202	-251.911	1601.922	842.588	-50.232	1600.088	825.537	-157.121	1298.085	716.832	-341.032	1419.111	842.259	35.008	1397.078	842.741	-160.927	1420.697	952.207	-165.932	1192.097	981.515	-165.837	1049.971	958.894	-298.853	988.984	726.213	-27.132	972.317	722.797	-356.817	1011.157	819.665	28.048	989.524	830.616	-401.659	1167.848	915.653	79.605	1180.191	916.987	-437.001	1053.417	782.859	-370.467	1012.488	882.858	129.371	1061.668	856.583	20.601	1025.770	876.883	-380.663	842.804	728.217	-450.578	812.731	797.380	-425.982	747.788	690.603	74.902	827.175	718.054	123.916	795.527	802.065	116.871	742.896	694.893	-316.248	642.828	758.446	-40.282	647.988	741.944	-329.753	448.126	881.575	-200.212	470.499	812.881	-126.852	468.404	811.362	7.441	458.986	886.826	-276.409	304.928	822.149	-34.819	308.835	821.647	-263.577	26.430	958.187	-48.645	29.232	950.972	-329.934	40.217	896.470	-0.178	65.355	886.548	-327.802	23.463	743.287	-5.970	21.777	748.657	-262.753	28.674	729.558	-66.933	37.384	730.368
4	0.03000	-166.724	1668.022	708.078	-251.835	1601.879	842.794	-50.214	1600.114	825.170	-157.233	1298.164	716.707	-341.172	1419.283	842.153	35.038	1396.981	842.732	-160.875	1420.670	952.157	-165.894	1192.115	981.487	-165.809	1049.994	958.841	-298.862	989.001	726.205	-27.147	972.314	722.773	-356.811	1011.117	819.669	27.423	988.926	831.534	-401.806	1167.892	915.311	79.673	1180.198	916.894	-436.976	1053.438	782.825	-370.302	1012.272	882.953	129.384	1061.368	856.704	20.561	1025.684	877.519	-380.470	842.792	728.279	-450.599	812.733	797.447	-425.997	747.729	690.523	74.950	827.167	717.911	123.809	795.615	802.379	116.890	742.874	694.743	-316.237	642.823	758.516	-40.542	648.101	741.936	-330.264	448.325	881.550	-200.201	470.503	812.915	-126.805	468.287	811.360	7.482	458.949	886.860	-276.417	304.899	822.140	-34.631	308.661	821.511	-263.778	26.498	958.640	-49.198	29.418	950.522	-329.446	39.832	896.639	-0.328	65.401	886.310	-327.799	23.403	743.301	-6.232	21.906	748.452	-262.756	28.630	729.546	-66.789	37.201	730.262
5	0.04000	-167.075	1667.893	707.992	-251.766	1601.889	843.048	-50.194	1600.169	824.788	-157.234	1298.234	716.695	-341.081	1419.335	842.566	35.057	1396.989	842.685	-160.805	1420.691	952.202	-165.864	1192.116	981.501	-165.804	1050.009	958.847	-298.857	989.024	726.207	-27.149	972.331	722.758	-356.800	1011.163	819.675	27.467	988.963	831.444	-401.799	1167.939	915.352	79.737	1180.217	916.792	-436.961	1053.524	782.807	-370.268	1012.303	882.938	129.460	1061.382	856.572	20.636	1025.714	877.396	-380.426	842.881	728.195	-450.545	812.791	797.353	-425.906	747.839	690.413	74.975	827.205	717.793	123.884	795.621	802.213	116.927	742.922	694.599	-316.243	642.815	758.532	-40.476	648.083	741.936	-330.237	448.320	881.547	-200.188	470.484	812.940	-126.801	468.312	811.382	7.491	458.991	886.871	-276.415	304.910	822.157	-34.641	308.711	821.560	-263.723	26.518	958.589	-49.123	29.519	950.675	-329.443	39.850	896.593	-0.309	65.404	886.325	-327.787	23.417	743.302	-6.230	21.918	748.458	-262.765	28.647	729.550	-66.820	37.198	730.256
6	0.05000	-167.450	1667.801	707.930	-251.706	1601.893	843.258	-50.184	1600.234	824.445	-157.230	1298.297	716.670	-341.012	1419.312	842.139	35.087	1397.008	842.659	-160.748	1420.695	952.228	-165.827	1192.118	981.499	-165.781	1050.022	958.838	-298.862	989.060	726.222	-27.193	972.354	722.737	-356.770	1011.177	819.659	27.373	988.953	831.526	-401.776	1167.972	915.319	79.803	1180.226	916.684	-436.937	1053.558	782.762	-370.232	1012.343	882.880	129.529	1061.410	856.479	20.713	1025.736	877.309	-380.356	842.967	728.102	-450.491	812.844	797.293	-425.862	747.921	690.298	75.001	827.219	717.689	123.938	795.654	802.108	116.941	742.960	694.465	-316.253	642.811	758.554	-40.532	648.100	741.955	-330.253	448.325	881.589	-200.194	470.479	812.928	-126.782	468.304	811.417	7.509	458.993	886.901	-276.416	304.908	822.146	-34.624	308.691	821.565	-263.747	26.526	958.700	-49.173	29.449	950.557	-329.425	39.834	896.585	-0.317	65.407	886.312	-327.802	23.418	743.298	-6.260	21.928	748.434	-262.773	28.634	729.546	-66.825	37.183	730.230
7	0.06000	-167.826	1667.703	707.859	-251.635	1601.878	843.498	-50.179	1600.275	824.072	-157.236	1298.348	716.624	-340.922	1419.295	842.518	35.123	1397.047	842.589	-160.679	1420.698	952.244	-165.797	1192.128	981.510	-165.767	1050.039	958.824	-298.850	989.083	726.237	-27.187	972.358	722.729	-356.754	1011.184	819.645	27.454	989.003	831.429	-401.757	1168.005	915.337	79.864	1180.252	916.587	-436.906	1053.645	782.737	-370.196	1012.372	882.821	129.579	1061.447	856.336	20.767	1025.776	877.201	-380.320	843.063	728.004	-450.419	812.904	797.151	-425.800	748.028	690.163	75.021	827.253	717.565	123.981	795.677	801.971	116.960	742.974	694.343	-316.268	642.806	758.583	-40.513	648.086	741.950	-330.229	448.320	881.577	-200.200	470.487	812.941	-126.784	468.312	811.435	7.511	458.989	886.905	-276.408	304.909	822.167	-34.606	308.707	821.584	-263.717	26.520	958.639	-49.133	29.532	950.656	-329.436	39.846	896.612	-0.313	65.409	886.328	-327.803	23.414	743.293	-6.250	21.935	748.449	-262.786	28.648	729.545	-66.847	37.161	730.237
8	0.07000	-168.204	1667.594	707.792	-251.575	1601.848	843.768	-50.180	1600.327	823.719	-157.239	1298.417	716.608	-340.922	1419.369	842.093	35.158	1397.082	842.551	-160.643	1420.706	952.279	-165.771	1192.148	981.512	-165.741	1050.046	958.823	-298.840	989.116	726.250	-27.228	972.379	722.712	-356.746	1011.203	819.680	27.423	989.003	831.423	-401.723	1168.045	915.340	79.920	1180.268	916.489	-436.886	1053.701	782.698	-370.162	1012.431	882.786	129.635	1061.472	856.235	20.825	1025.802	877.105	-380.308	843.147	727.904	-450.385	812.974	797.060	-425.779	748.151	690.023	75.032	827.261	717.473	124.030	795.707	801.852	116.969	742.997	694.228	-316.271	642.808	758.619	-40.507	648.091	741.951	-330.230	448.325	881.603	-200.186	470.479	812.961	-126.764	468.307	811.467	7.529	458.991	886.945	-276.424	304.907	822.165	-34.601	308.698	821.602	-263.750	26.499	958.668	-49.207	29.438	950.695	-329.435	39.845	896.611	-0.285	65.423	886.314	-327.812	23.411	743.307	-6.257	21.929	748.442	-262.775	28.653	729.539	-66.869	37.135	730.217
9	0.08000	-168.623	1667.504	707.729	-251.514	1601.832	844.021	-50.190	1600.376	823.347	-157.252	1298.449	716.578	-340.913	1419.444	842.286	35.172	1397.109	842.484	-160.584	1420.719	952.274	-165.737	1192.166	981.519	-165.721	1050.055	958.821	-298.833	989.148	726.248	-27.241	972.390	722.704	-356.721	1011.233	819.648	27.444	989.030	831.359	-401.708	1168.092	915.334	79.975	1180.302	916.402	-436.874	1053.792	782.668	-370.129	1012.471	882.721	129.689	1061.526	856.110	20.871	1025.828	877.011	-380.272	843.245	727.806	-450.350	813.063	796.931	-425.752	748.263	689.879	75.044	827.292	717.378	124.065	795.739	801.744	116.971	743.021	694.128	-316.286	642.801	758.664	-40.517	648.102	741.977	-330.239	448.331	881.613	-200.183	470.472	812.995	-126.752	468.320	811.477	7.533	458.995	886.952	-276.414	304.914	822.181	-34.586	308.701	821.630	-263.735	26.496	958.653	-49.186	29.467	950.684	-329.435	39.840	896.612	-0.302	65.395	886.324	-327.798	23.406	743.290	-6.260	21.942	748.451	-262.793	28.641	729.537	-66.861	37.116	730.218
10	0.09000	-169.027	1667.429	707.669	-251.480	1601.796	844.281	-50.204	1600.427	822.965	-157.253	1298.493	716.551	-340.870	1419.500	842.233	35.199	1397.139	842.445	-160.537	1420.731	952.296	-165.713	1192.183	981.514	-165.700	1050.094	958.821	-298.830	989.186	726.285	-27.259	972.411	722.697	-356.701	1011.246	819.683	27.433	989.046	831.323	-401.684	1168.138	915.333	80.030	1180.334	916.319	-436.848	1053.851	782.631	-370.099	1012.533	882.678	129.730	1061.548	856.001	20.923	1025.870	876.918	-380.270	843.335	727.688	-450.315	813.138	796.820	-425.747	748.377	689.742	75.061	827.321	717.285	124.118	795.775	801.611	116.981	743.046	694.020	-316.303	642.789	758.696	-40.520	648.098	741.966	-330.213	448.330	881.627	-200.186	470.484	812.981	-126.761	468.333	811.476	7.546	459.005	886.977	-276.409	304.905	822.197	-34.586	308.708	821.621	-263.740	26.505	958.660	-49.138	29.525	950.653	-329.429	39.845	896.619	-0.293	65.409	886.316	-327.796	23.413	743.304	-6.272	21.923	748.453	-262.771	28.650	729.548	-66.881	37.105	730.215
