FILE_VERSION	2.0.0
NO_OF_FRAMES	3338
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:42:00.542	65939.67625860
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-160.285	1656.562	700.811	-249.565	1608.188	839.940	-47.607	1602.646	828.156	-151.969	1298.252	720.093	-330.877	1414.368	845.467	37.725	1399.482	835.735	-154.184	1417.128	961.082	-157.082	1188.542	978.942	-156.677	1049.076	953.778	-292.142	993.212	720.370	-20.845	978.945	714.650	-347.990	1012.277	817.752	34.664	993.042	823.743	-397.280	1148.354	819.351	88.353	1163.333	814.856	-413.430	1157.043	684.807	-339.661	1053.404	687.453	109.521	1098.130	711.061	-0.972	1055.262	704.607	-356.644	1209.793	503.934	-378.821	1120.273	460.035	-404.759	1230.118	407.668	72.535	1201.889	490.736	75.643	1107.675	451.409	119.017	1207.301	408.816	-316.323	647.303	747.625	-34.036	647.976	730.644	-328.321	451.702	867.253	-201.148	472.210	790.899	-122.039	467.266	794.796	7.415	456.869	876.236	-280.049	305.436	808.172	-29.837	306.721	813.312	-270.616	31.583	953.365	-50.903	30.156	950.326	-333.997	43.944	887.754	1.076	66.151	887.670	-322.884	23.761	735.540	3.349	22.835	750.754	-257.098	28.902	725.821	-56.452	40.066	730.980
2	0.01000	-160.305	1656.568	700.344	-249.344	1608.109	839.661	-47.659	1602.699	827.648	-151.914	1298.273	719.753	-330.744	1414.497	845.137	37.842	1399.592	835.243	-154.030	1417.272	960.705	-156.917	1188.684	978.642	-156.493	1049.183	953.609	-292.126	993.284	720.372	-20.868	978.907	714.498	-347.873	1012.387	817.955	34.774	993.023	823.497	-397.236	1148.497	819.146	88.502	1163.454	814.463	-413.389	1157.104	684.627	-339.490	1053.243	687.840	109.644	1098.183	710.666	-0.847	1055.294	704.256	-356.585	1209.794	503.739	-379.017	1120.136	460.012	-404.570	1229.949	407.640	72.501	1201.809	490.316	75.618	1107.638	451.051	118.940	1207.255	408.404	-316.367	647.422	747.718	-34.085	647.927	730.601	-328.177	451.768	867.304	-201.240	472.558	790.741	-122.050	467.248	794.754	7.426	456.849	876.151	-279.960	305.528	808.089	-29.826	306.718	813.273	-270.249	31.682	953.211	-50.901	30.163	950.324	-334.156	44.265	888.378	1.098	66.167	887.663	-322.871	23.779	735.482	3.340	22.824	750.754	-257.103	28.918	725.680	-56.476	40.047	730.986
3	0.02000	-160.332	1656.549	699.846	-249.409	1608.274	839.142	-47.290	1602.324	827.713	-151.848	1298.316	719.410	-330.635	1414.618	844.803	37.941	1399.718	834.748	-153.859	1417.418	960.318	-156.733	1188.831	978.316	-156.309	1049.286	953.475	-292.136	993.344	720.394	-21.092	978.649	714.676	-347.778	1012.482	818.033	34.903	993.042	823.277	-397.188	1148.644	818.985	88.655	1163.564	814.096	-413.352	1157.182	684.467	-339.652	1053.520	687.222	109.778	1098.256	710.328	-0.690	1055.346	703.981	-356.535	1209.798	503.571	-378.909	1120.182	459.828	-404.511	1229.919	407.465	72.490	1201.814	489.951	75.575	1107.548	450.732	118.850	1207.166	408.004	-316.398	647.524	747.787	-34.119	647.915	730.503	-328.034	451.815	867.394	-201.187	472.270	790.652	-122.035	467.227	794.714	7.426	456.846	876.065	-279.910	305.618	808.035	-29.823	306.723	813.216	-269.929	31.765	953.131	-50.881	30.166	950.338	-333.950	44.445	888.096	0.918	65.963	887.745	-322.864	23.767	735.444	3.335	22.824	750.747	-257.252	28.783	725.509	-56.314	39.886	731.341
4	0.03000	-160.325	1656.514	699.312	-249.324	1608.282	838.693	-47.408	1602.870	826.508	-151.814	1298.290	719.073	-330.571	1414.794	844.536	38.057	1399.802	834.264	-153.692	1417.553	959.888	-156.558	1189.029	978.012	-156.108	1049.372	953.360	-292.129	993.351	720.500	-20.864	978.867	714.182	-347.744	1012.520	818.206	35.021	993.013	823.104	-397.109	1148.849	818.858	88.838	1163.672	813.733	-413.465	1157.445	684.258	-339.661	1053.526	687.151	109.531	1098.601	710.224	-0.592	1055.341	703.747	-356.828	1209.930	503.164	-378.790	1120.144	459.650	-404.610	1230.011	407.142	72.448	1201.718	489.571	75.623	1107.550	450.365	118.782	1207.059	407.595	-316.471	647.524	747.887	-33.984	647.783	730.316	-328.402	452.072	867.450	-201.154	472.422	790.472	-122.036	467.166	794.651	7.483	456.825	876.016	-279.884	305.670	807.997	-29.754	306.653	813.149	-269.537	31.650	952.597	-50.881	30.169	950.349	-333.477	44.083	888.032	1.196	66.160	887.661	-322.863	23.706	735.439	3.327	22.754	750.770	-257.106	28.920	725.483	-56.471	40.014	731.017
5	0.04000	-160.312	1656.488	698.855	-249.235	1608.372	838.320	-47.270	1602.868	826.073	-151.775	1298.318	718.775	-330.466	1414.945	844.251	38.147	1399.910	833.782	-153.533	1417.726	959.544	-156.381	1189.198	977.798	-155.887	1049.445	953.270	-292.124	993.403	720.576	-20.931	978.814	714.120	-347.631	1012.593	818.302	35.131	993.042	822.920	-397.114	1148.994	818.729	88.975	1163.782	813.372	-413.475	1157.544	684.132	-339.741	1053.608	686.999	109.661	1098.651	709.895	-0.424	1055.372	703.487	-356.784	1209.924	503.041	-378.754	1120.163	459.529	-404.565	1229.983	407.019	72.432	1201.666	489.231	75.594	1107.443	450.064	118.715	1206.983	407.215	-316.500	647.614	747.978	-33.991	647.805	730.260	-328.272	452.130	867.522	-201.142	472.379	790.395	-121.998	467.179	794.642	7.513	456.827	875.953	-279.850	305.743	807.987	-29.744	306.676	813.122	-269.312	31.709	952.489	-50.852	30.177	950.358	-333.306	44.135	887.903	1.175	66.139	887.627	-322.873	23.732	735.391	3.336	22.774	750.771	-257.176	28.904	725.367	-56.450	40.017	731.069
6	0.05000	-160.304	1656.429	698.355	-249.150	1608.379	837.895	-47.249	1602.927	825.507	-151.753	1298.303	718.485	-330.346	1415.073	843.982	38.241	1400.014	833.323	-153.371	1417.888	959.207	-156.177	1189.354	977.546	-155.703	1049.527	953.214	-292.100	993.426	720.716	-20.857	978.863	714.042	-347.552	1012.653	818.456	35.219	993.042	822.800	-397.121	1149.181	818.635	89.129	1163.903	813.048	-413.508	1157.624	684.040	-339.801	1053.614	686.991	109.788	1098.727	709.599	-0.266	1055.385	703.296	-356.772	1209.898	502.930	-378.792	1120.125	459.472	-404.524	1229.969	406.891	72.403	1201.563	488.890	75.553	1107.276	449.787	118.651	1206.849	406.863	-316.538	647.657	748.108	-33.959	647.780	730.205	-328.190	452.177	867.640	-201.104	472.470	790.345	-121.953	467.178	794.614	7.572	456.815	875.903	-279.814	305.773	808.007	-29.700	306.661	813.079	-269.138	31.712	952.407	-50.836	30.205	950.366	-333.193	44.136	887.910	1.219	66.166	887.638	-322.875	23.752	735.361	3.333	22.768	750.757	-257.149	28.949	725.343	-56.478	40.036	731.033
7	0.06000	-160.290	1656.351	697.892	-249.052	1608.398	837.494	-47.139	1602.921	825.024	-151.718	1298.311	718.211	-330.223	1415.170	843.697	38.318	1400.094	832.912	-153.234	1417.999	958.896	-156.013	1189.511	977.352	-155.508	1049.593	953.182	-292.050	993.441	720.854	-20.850	978.825	714.039	-347.457	1012.688	818.609	35.323	993.065	822.697	-397.152	1149.297	818.565	89.274	1163.997	812.741	-413.535	1157.674	683.953	-339.908	1053.637	686.968	109.911	1098.748	709.305	-0.159	1055.378	703.105	-356.747	1209.850	502.846	-378.851	1120.080	459.413	-404.475	1229.909	406.795	72.364	1201.457	488.552	75.510	1107.132	449.521	118.570	1206.724	406.505	-316.548	647.678	748.235	-33.905	647.776	730.164	-328.086	452.182	867.735	-201.059	472.474	790.356	-121.909	467.186	794.623	7.629	456.795	875.853	-279.796	305.800	808.040	-29.669	306.650	813.044	-269.023	31.711	952.393	-50.816	30.203	950.361	-333.111	44.141	887.972	1.228	66.134	887.622	-322.890	23.748	735.343	3.337	22.769	750.784	-257.176	28.945	725.303	-56.473	40.021	731.062
8	0.07000	-160.264	1656.230	697.418	-248.979	1608.391	837.123	-47.074	1602.913	824.559	-151.707	1298.282	717.965	-330.121	1415.267	843.450	38.392	1400.159	832.519	-153.093	1418.116	958.590	-155.839	1189.658	977.145	-155.341	1049.651	953.166	-292.000	993.436	721.017	-20.817	978.835	714.007	-347.355	1012.690	818.780	35.410	993.070	822.617	-397.162	1149.418	818.499	89.412	1164.093	812.438	-413.578	1157.737	683.898	-340.022	1053.641	686.941	110.020	1098.783	709.030	-0.013	1055.367	702.936	-356.737	1209.804	502.783	-378.902	1120.032	459.379	-404.429	1229.863	406.715	72.308	1201.328	488.213	75.482	1106.968	449.263	118.492	1206.570	406.164	-316.510	647.669	748.382	-33.865	647.763	730.152	-328.000	452.161	867.893	-201.035	472.430	790.447	-121.866	467.186	794.629	7.702	456.782	875.811	-279.759	305.780	808.116	-29.630	306.653	813.012	-268.965	31.678	952.382	-50.797	30.202	950.370	-333.055	44.121	887.966	1.264	66.132	887.615	-322.895	23.760	735.346	3.328	22.758	750.780	-257.181	28.977	725.286	-56.480	40.045	731.059
9	0.08000	-160.252	1656.104	696.956	-248.912	1608.387	836.721	-46.855	1602.743	824.214	-151.693	1298.262	717.732	-330.035	1415.337	843.245	38.450	1400.208	832.130	-152.960	1418.211	958.306	-155.679	1189.762	976.926	-155.174	1049.660	953.183	-291.945	993.412	721.208	-20.783	978.819	714.018	-347.259	1012.665	818.980	35.506	993.069	822.560	-397.198	1149.517	818.477	89.564	1164.157	812.146	-413.639	1157.779	683.855	-340.164	1053.649	686.949	110.139	1098.794	708.752	0.116	1055.362	702.678	-356.906	1209.962	502.784	-378.955	1119.979	459.349	-404.249	1229.759	406.574	72.281	1201.187	487.903	75.476	1106.828	449.006	118.440	1206.406	405.837	-316.466	647.607	748.563	-33.780	647.753	730.144	-327.899	452.100	868.036	-200.951	472.396	790.535	-121.809	467.209	794.676	7.788	456.766	875.807	-279.717	305.749	808.236	-29.588	306.651	813.005	-268.931	31.575	952.382	-50.771	30.201	950.380	-333.021	44.072	888.010	1.293	66.125	887.615	-322.908	23.771	735.344	3.336	22.760	750.791	-257.196	28.981	725.298	-56.480	40.058	731.072
10	0.09000	-160.250	1655.932	696.520	-248.851	1608.343	836.372	-46.938	1602.853	823.640	-151.692	1298.221	717.502	-329.956	1415.410	843.071	38.517	1400.228	831.775	-152.828	1418.266	958.072	-155.535	1189.849	976.781	-155.029	1049.663	953.219	-291.855	993.359	721.403	-20.736	978.802	714.039	-347.179	1012.606	819.158	35.609	993.065	822.525	-397.231	1149.596	818.457	89.691	1164.171	811.884	-413.706	1157.820	683.832	-340.293	1053.651	686.950	110.236	1098.790	708.517	0.241	1055.304	702.489	-356.912	1209.873	502.738	-379.024	1119.892	459.341	-404.238	1229.687	406.510	72.234	1201.021	487.610	75.438	1106.648	448.753	118.344	1206.191	405.498	-316.401	647.545	748.743	-33.726	647.747	730.186	-327.808	452.022	868.216	-200.883	472.315	790.736	-121.716	467.216	794.744	7.886	456.777	875.817	-279.668	305.700	808.368	-29.511	306.646	813.039	-268.911	31.461	952.413	-50.739	30.192	950.394	-332.997	44.007	888.058	1.333	66.118	887.608	-322.927	23.774	735.353	3.327	22.752	750.795	-257.191	28.992	725.320	-56.490	40.051	731.106
