FILE_VERSION	2.0.0
NO_OF_FRAMES	3537
NO_OF_CAMERAS	19
NO_OF_MARKERS	41
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-24, 10:42:55.603	65994.73729030
DATA_INCLUDED	3D
MARKER_NAMES	HeadFront	HeadL	HeadR	Chest	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistBack	WaistLFront	WaistRFront	WaistL	WaistR	LArm	RArm	LElbowOut	LElbowIn	RelbowOut	RElbowIn	LWristIn	LWristOut	LHand2	RWristIn	RWristOut	RHand2	LThighFrontLow	RThighFrontLow	LKneeOut	LKneeIn	RKneeIn	RKneeOut	LShinFrontHigh	RShinFrontHigh	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot5	RForefoot5	LForefoot2	RForefoot2
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	HeadFront X	HeadFront Y	HeadFront Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistBack X	WaistBack Y	WaistBack Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	LArm X	LArm Y	LArm Z	RArm X	RArm Y	RArm Z	LElbowOut X	LElbowOut Y	LElbowOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RelbowOut X	RelbowOut Y	RelbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LWristIn X	LWristIn Y	LWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	LHand2 X	LHand2 Y	LHand2 Z	RWristIn X	RWristIn Y	RWristIn Z	RWristOut X	RWristOut Y	RWristOut Z	RHand2 X	RHand2 Y	RHand2 Z	LThighFrontLow X	LThighFrontLow Y	LThighFrontLow Z	RThighFrontLow X	RThighFrontLow Y	RThighFrontLow Z	LKneeOut X	LKneeOut Y	LKneeOut Z	LKneeIn X	LKneeIn Y	LKneeIn Z	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	LShinFrontHigh X	LShinFrontHigh Y	LShinFrontHigh Z	RShinFrontHigh X	RShinFrontHigh Y	RShinFrontHigh Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	
1	0.00000	-151.636	1672.202	709.186	-235.543	1605.600	845.293	-33.741	1599.196	822.385	-145.705	1295.006	712.283	-325.104	1416.042	844.027	51.038	1392.111	829.253	-142.228	1421.054	948.590	-148.035	1192.061	973.437	-150.185	1050.207	950.990	-289.427	991.354	721.523	-18.649	973.962	711.604	-344.755	1012.093	817.423	39.229	992.873	813.288	-379.176	1165.506	920.369	96.695	1175.028	896.594	-427.164	1051.229	792.448	-350.858	1011.710	885.931	141.547	1057.090	831.122	33.597	1022.964	858.183	-377.182	836.812	737.429	-438.187	808.037	816.145	-427.923	742.583	710.211	79.359	825.902	693.248	129.873	791.455	775.766	118.477	741.005	670.414	-312.593	644.785	753.512	-29.477	645.065	736.708	-324.179	449.918	876.619	-196.598	470.287	801.615	-115.674	465.818	805.704	14.735	457.479	885.322	-276.373	306.115	814.114	-23.538	307.795	820.819	-264.582	29.381	951.119	-45.158	28.813	951.220	-330.310	42.991	888.477	6.246	64.603	889.077	-324.980	23.535	735.855	-0.751	22.513	750.203	-259.581	28.497	723.232	-60.705	38.294	731.759
2	0.01000	-151.267	1672.048	709.221	-235.292	1605.654	845.372	-33.490	1599.075	822.581	-145.611	1294.951	712.589	-324.984	1416.166	844.245	51.132	1392.020	829.568	-142.135	1421.075	948.887	-148.107	1192.080	973.772	-150.243	1050.217	951.341	-289.440	991.355	721.940	-18.708	973.933	711.985	-344.910	1012.672	817.237	38.413	990.472	818.428	-379.296	1165.633	920.460	96.796	1174.898	896.772	-427.241	1051.528	792.378	-350.982	1011.786	885.811	141.641	1057.014	831.194	33.682	1022.827	858.241	-377.665	837.091	737.002	-438.229	808.306	815.422	-427.948	743.163	709.269	79.323	826.161	692.815	129.856	791.482	775.248	118.411	741.315	669.736	-312.615	644.728	754.049	-30.069	645.464	737.216	-324.208	449.867	877.133	-196.592	470.237	802.265	-115.629	465.861	806.016	14.755	457.471	885.576	-276.371	306.163	814.503	-23.662	307.940	821.046	-264.604	29.280	951.172	-45.101	28.741	951.287	-330.318	42.929	888.530	6.194	64.296	889.315	-326.031	24.125	735.425	-0.508	22.525	750.058	-260.626	29.091	722.841	-60.470	38.401	731.721
3	0.02000	-150.876	1671.892	709.277	-235.059	1605.715	845.438	-33.258	1598.931	822.807	-145.544	1294.922	712.885	-324.881	1416.282	844.478	51.219	1391.932	829.913	-142.056	1421.077	949.194	-148.182	1192.098	974.141	-150.311	1050.208	951.757	-289.479	991.320	722.403	-18.691	973.927	712.345	-344.958	1012.680	817.588	38.399	990.471	818.750	-379.461	1165.736	920.510	96.880	1174.744	896.961	-427.329	1051.811	792.275	-351.139	1011.847	885.682	141.686	1056.879	831.273	33.747	1022.678	858.276	-377.653	837.612	736.342	-438.279	808.564	814.599	-427.925	743.771	708.268	79.274	826.407	692.367	129.815	791.472	774.710	118.209	741.729	669.136	-312.600	644.654	754.631	-29.573	645.131	737.592	-324.177	449.850	877.751	-196.605	470.449	802.907	-115.584	465.944	806.308	14.822	457.480	885.797	-276.355	306.168	814.971	-23.645	307.953	821.156	-264.595	29.170	951.192	-45.521	28.330	951.688	-329.729	42.647	888.308	6.232	64.522	889.972	-325.047	23.578	735.872	0.433	22.137	750.850	-260.656	29.104	722.867	-60.405	38.551	731.811
4	0.03000	-150.464	1671.741	709.299	-234.884	1605.748	845.451	-33.043	1598.762	823.073	-145.509	1294.868	713.114	-324.879	1416.424	844.508	51.271	1391.766	830.234	-142.251	1421.196	949.258	-148.264	1192.111	974.486	-150.364	1050.231	952.147	-289.561	991.314	722.827	-18.908	973.818	712.820	-344.942	1012.099	818.456	38.346	990.406	819.280	-379.695	1165.792	920.572	96.942	1174.579	897.145	-427.424	1052.059	792.139	-351.098	1011.756	885.769	141.760	1056.751	831.343	33.783	1022.528	858.338	-377.468	838.329	735.433	-438.216	808.886	813.692	-427.929	744.221	707.125	79.206	826.626	691.875	129.699	791.497	774.158	118.233	741.839	668.357	-312.489	644.377	755.592	-29.646	645.170	737.988	-324.715	449.902	878.298	-196.505	470.111	803.580	-115.550	465.955	806.610	14.932	457.466	885.982	-276.378	306.203	815.415	-23.470	307.801	821.120	-264.611	29.047	951.234	-44.932	28.594	951.433	-330.418	42.771	888.752	6.230	64.199	889.253	-326.184	24.126	735.471	-0.694	22.537	750.264	-260.687	29.080	722.889	-60.318	38.641	731.916
5	0.04000	-150.043	1671.597	709.384	-234.695	1605.859	845.477	-32.860	1598.630	823.383	-145.507	1294.875	713.436	-324.840	1416.535	844.746	51.274	1391.679	830.580	-142.223	1421.228	949.608	-148.343	1192.132	974.903	-150.398	1050.246	952.576	-289.672	991.275	723.345	-18.984	973.821	713.190	-345.214	1011.734	819.399	38.265	990.488	819.429	-379.928	1165.870	920.593	96.966	1174.401	897.352	-427.538	1052.385	791.939	-351.324	1011.787	885.567	141.772	1056.641	831.399	33.797	1022.362	858.366	-377.396	838.869	734.599	-438.221	809.097	812.694	-427.785	744.920	705.891	79.126	826.894	691.417	129.589	791.486	773.618	118.109	742.159	667.719	-312.644	644.224	756.572	-29.537	645.181	738.300	-324.662	449.861	878.922	-196.455	470.141	804.150	-115.459	466.006	806.925	14.996	457.492	886.135	-276.410	306.308	815.886	-23.442	307.832	821.227	-264.587	28.951	951.255	-44.963	28.488	951.603	-330.348	42.729	888.685	6.351	64.242	889.410	-325.727	23.850	735.761	-0.513	22.550	750.384	-260.695	29.118	722.937	-60.268	38.789	732.029
6	0.05000	-149.624	1671.491	709.444	-234.545	1605.973	845.506	-32.706	1598.502	823.693	-145.543	1294.895	713.712	-324.838	1416.667	844.978	51.263	1391.568	830.915	-142.239	1421.284	949.906	-148.447	1192.194	975.251	-150.443	1050.248	952.995	-289.772	991.241	723.906	-19.165	973.804	713.607	-345.228	1011.659	819.978	38.205	990.507	819.762	-380.213	1165.937	920.611	96.965	1174.232	897.518	-427.644	1052.657	791.714	-351.544	1011.842	885.370	141.764	1056.518	831.477	33.776	1022.194	858.382	-377.237	839.508	733.693	-438.190	809.357	811.616	-427.589	745.557	704.597	79.039	827.129	690.966	129.448	791.497	773.098	118.011	742.466	667.001	-312.606	644.215	757.140	-29.634	645.313	738.665	-324.640	449.819	879.700	-196.544	470.059	804.779	-115.324	466.070	807.260	15.087	457.511	886.277	-276.524	306.436	816.363	-23.411	307.846	821.312	-264.568	28.863	951.262	-44.841	28.459	951.671	-330.440	42.683	888.954	6.397	64.155	889.386	-326.229	24.156	735.479	-0.632	22.558	750.311	-260.733	29.118	722.963	-60.215	38.915	732.086
7	0.06000	-149.209	1671.380	709.518	-234.424	1606.114	845.513	-32.543	1598.360	824.020	-145.610	1294.922	714.017	-324.859	1416.809	845.250	51.223	1391.495	831.239	-142.258	1421.331	950.214	-148.529	1192.267	975.608	-150.471	1050.283	953.464	-289.900	991.218	724.361	-19.279	973.832	714.004	-345.300	1011.665	820.516	38.160	990.556	820.018	-380.506	1166.017	920.617	96.940	1174.066	897.681	-427.730	1052.965	791.449	-351.778	1011.888	885.116	141.716	1056.415	831.505	33.724	1022.051	858.406	-377.171	840.042	732.816	-438.184	809.612	810.502	-427.377	746.250	703.250	78.942	827.382	690.494	129.260	791.501	772.588	117.896	742.800	666.382	-312.743	644.443	757.306	-29.578	645.323	739.020	-324.567	449.794	880.421	-196.546	470.100	805.193	-115.166	466.093	807.538	15.204	457.556	886.440	-276.653	306.560	816.789	-23.348	307.877	821.394	-264.538	28.804	951.288	-44.784	28.402	951.764	-330.406	42.656	888.892	6.507	64.152	889.505	-326.162	24.139	735.531	-0.541	22.621	750.343	-260.771	29.144	722.995	-60.159	39.035	732.179
8	0.07000	-148.793	1671.315	709.600	-234.318	1606.267	845.525	-32.420	1598.239	824.361	-145.706	1294.968	714.289	-324.990	1417.066	845.345	51.157	1391.434	831.551	-142.316	1421.399	950.508	-148.633	1192.369	975.951	-150.480	1050.329	953.907	-290.038	991.217	724.966	-19.442	973.896	714.378	-345.327	1011.697	820.993	38.212	990.545	820.491	-380.814	1166.090	920.598	96.892	1173.936	897.839	-427.897	1053.261	791.125	-352.011	1011.978	884.855	141.639	1056.340	831.556	33.647	1021.959	858.461	-377.024	840.704	731.815	-438.126	809.905	809.329	-427.132	746.972	701.849	78.826	827.616	690.067	129.047	791.518	772.102	117.763	743.101	665.754	-312.759	644.521	757.814	-29.540	645.401	739.356	-324.523	449.808	881.186	-196.612	470.131	805.616	-115.004	466.129	807.794	15.327	457.586	886.587	-276.805	306.670	817.199	-23.299	307.918	821.441	-264.509	28.753	951.304	-44.676	28.365	951.845	-330.409	42.653	888.992	6.588	64.126	889.548	-326.260	24.166	735.496	-0.535	22.656	750.375	-260.792	29.155	723.028	-60.038	39.248	732.257
9	0.08000	-148.379	1671.264	709.707	-234.262	1606.442	845.520	-32.315	1598.137	824.761	-145.834	1295.003	714.582	-324.964	1417.146	845.758	51.078	1391.428	831.848	-142.392	1421.500	950.809	-148.746	1192.494	976.319	-150.487	1050.382	954.406	-290.178	991.222	725.505	-19.594	973.922	714.799	-345.375	1011.723	821.531	38.104	990.627	820.731	-381.117	1166.186	920.551	96.817	1173.836	897.994	-427.964	1053.594	790.808	-352.234	1012.056	884.533	141.518	1056.316	831.577	33.529	1021.909	858.482	-376.862	841.381	730.841	-438.064	810.206	808.135	-426.833	747.717	700.407	78.671	827.885	689.658	128.845	791.610	771.651	117.585	743.426	665.187	-312.742	644.480	758.624	-29.545	645.481	739.675	-324.488	449.799	881.768	-196.706	470.192	806.040	-114.850	466.135	808.042	15.462	457.613	886.706	-276.937	306.779	817.579	-23.258	307.935	821.460	-264.490	28.743	951.316	-44.575	28.283	951.959	-330.415	42.657	889.017	6.683	64.105	889.657	-326.276	24.172	735.525	-0.440	22.711	750.468	-260.821	29.184	723.051	-59.818	39.601	732.382
10	0.09000	-148.013	1671.271	709.836	-234.220	1606.643	845.490	-32.264	1598.029	825.116	-145.938	1295.048	714.866	-325.160	1417.428	845.784	50.984	1391.444	832.137	-142.497	1421.614	951.087	-148.846	1192.649	976.648	-150.473	1050.483	954.909	-290.310	991.230	726.150	-19.759	973.970	715.215	-345.430	1011.735	822.080	38.019	990.719	820.914	-381.444	1166.300	920.487	96.714	1173.774	898.128	-428.084	1053.969	790.475	-352.440	1012.168	884.196	141.378	1056.313	831.584	33.385	1021.897	858.522	-376.717	842.055	729.778	-437.974	810.541	806.916	-426.581	748.480	698.946	78.464	828.147	689.291	128.601	791.706	771.245	117.411	743.724	664.652	-312.915	644.719	758.888	-29.608	645.572	739.958	-324.482	449.783	882.330	-196.751	470.263	806.337	-114.810	466.147	808.223	15.591	457.608	886.761	-277.029	306.844	817.866	-23.268	307.958	821.407	-264.463	28.740	951.308	-44.496	28.224	952.105	-330.418	42.661	889.049	6.781	64.102	889.763	-326.308	24.180	735.508	-0.333	22.840	750.538	-260.845	29.200	723.050	-59.559	40.059	732.523
